Column1,year,city_x,id,province_x,province_id,Gdpct01,Gdpct02,Gdpct03,Gdpct04,GDP_PerCapita,Envirct04,Envirct06,Envirct09,Eect01,Eect02,Eect04,Fict03,Eicct01,bm,ccnl,egdp,hdmsp,hviirs,viirsl,viirsv1,viirsv2
152,1992,六盘水市,520200,贵州省,520000,24.5248,,,,984,,,,250.3,38.82,252,,,,9652.169715,1268915000,19034.23137,,,,
153,1992,兰州市,620100,甘肃省,620000,84.7611,,,,3302,,,,258.3824,132.1959,187,,13996,,20199.20913,3757213476,37905.73725,,,,
154,1992,嘉峪关市,620200,甘肃省,620000,5.4324,,,,5063,,,,300.4092,36.5899,84,,1273,,2081.099081,546341702.3,4225,,,,
155,1992,天水市,620500,甘肃省,620000,26.6954,,,,895,,,,10.9326,8.6163,210,,2280,,4800.554849,1334930129,9898.862745,,,,
156,1992,酒泉市,620900,甘肃省,620000,21.9077,,,,2608,,,,223.8153,20.5591,89,,,,5106.805748,7388440757,10998.7451,,,,
157,1992,张掖市,620700,甘肃省,620000,15.9399,,,,1374,,,,196.8357,20.5167,103,,,,2438.720531,1937661820,5442.203922,,,,
158,1992,武威市,620600,甘肃省,620000,13.4426,,,,786,,,,245.096,17.5289,176,,,,3656.896396,1684585374,7651.639216,,,,
159,1992,定西市,621100,甘肃省,620000,13.5576,,,,517,,,,263.8635,18.5528,,,,,2328.646227,1294980289,4981.976471,,,,
160,1992,陇南市,621200,甘肃省,620000,15.0042,,,,615,,,,172.1805,19.9489,,,,,1426.517229,1407298857,3200.988235,,,,
161,1992,平凉市,620800,甘肃省,620000,13.8607,,,,708,,,,116.666,14.9879,205,,,,2855.18211,908192151.2,5943.776471,,,,
162,1992,庆阳市,621000,甘肃省,620000,21.294,,,,958,,,,84.9893,25.7617,,,,,3112.249091,1833344792,6271.070588,,,,
163,1992,临夏回族自治州,622900,甘肃省,620000,8.5972,,,,523,,,,166.1616,14.0412,,,,,1971.122998,668804034.8,4474.301961,,,,
164,1992,甘南藏族自治州,623000,甘肃省,620000,5.4012,,,,909,,,,59.7312,9.4264,,,,,507.3894004,1520747265,1132,,,,
165,1992,金昌市,620300,甘肃省,620000,18.1299,,,,4661,,,,149.8233,28.0857,41,,3296,,2827.291279,850753949.4,5828,,,,
166,1992,白银市,620400,甘肃省,620000,21.4347,,,,1444,,,,39.2379,15.465,71,,1230,,8849.806362,1713957972,16876.05098,,,,
167,1992,昆明市,530100,云南省,530000,141.6695,9.4,59.6,31,,,,,362.7,145.3,233,2620,394758,,23458.31984,6079816090,43889.23137,,,,
168,1992,东川区,530113,云南省,530000,3.134,19.3,56.9,23.8,,,,,28.5,6.4,,,8878,,,,,,,,
169,1992,昭通市,530600,云南省,530000,32.645,37.4,37.3,25.3,,,,,440.4,27.7,298,,28078,,1066.461881,1180299417,2197.372549,,,,
170,1992,曲靖市,530300,云南省,530000,69.87,30.1,41,28.9,,,,,538.2,49.2,202,,146580,,11937.17267,2817650629,23673.92549,,,,
171,1992,楚雄彝族自治州,532300,云南省,530000,32.8548,36.6,40.3,23.1,,,,,236.9,25.8,,,55360,,3511.836112,1787706134,7255.886275,,,,
172,1992,玉溪市,530400,云南省,530000,54.9965,20.4,61.4,18.2,,,,,185.2,22.2,331,,120238,,5297.371924,1764876965,11264.85098,,,,
173,1992,红河哈尼族彝族自治州,532500,云南省,530000,44.3114,31.3,36.1,32.6,,,,,371.3,57.6,,,105721,,10478.79648,2939872234,21347.56078,,,,
174,1992,文山壮族苗族自治州,532600,云南省,530000,17.5956,60.8,13.8,25.4,,,,,301,18.9,,,21979,,1300.789786,1629539171,3016.666667,,,,
175,1992,普洱市,530800,云南省,530000,20.101,43.4,20.3,36.3,,,,,223.3,20.9,,,46901,,1955.683278,2344911594,4109.803922,,,,
176,1992,西双版纳傣族自治州,532800,云南省,530000,14.3575,54.2,15.2,30.6,,,,,78.9,13.7,,,28318,,1878.053333,1162872886,4044.839216,,,,
177,1992,大理白族自治州,532900,云南省,530000,35.2206,40.6,29.5,29.9,,,,,308.6,29.2,,,71024,,2909.750883,2137741532,6568.870588,,,,
178,1992,保山市,530500,云南省,530000,19.7158,56.5,19.1,24.4,,,,,216.6,15.6,151,,48404,,1978.338739,1285050229,4442.827451,,,,
179,1992,德宏傣族景颇族自治州,533100,云南省,530000,13.0884,41.6,19,39.4,,,,,93.1,11.7,,,42128,,2014.128274,1083050795,4224.909804,,,,
