Sgnyea,Prvcnm_id,Prvcnm,Gdp0101,Gdp0102,Gdp0103,Gdp0106,Gdp0113,Gdp0114,Gdp0115,Gdp0116
1999,350000,福建省,3550.24,628.86,1507.29,1414.09,17.7132,42.456,39.8308,10796.8773
1999,510000,四川省,3711.61,941.02,1556.68,1213.91,25.3534,41.9408,32.7058,4451.9037
1999,210000,辽宁省,4171.69,520.8,2001.48,1649.41,12.4841,47.9777,39.5382,10086.2911
1999,620000,甘肃省,931.98,191.21,423.79,316.98,20.5165,45.472,34.0115,3667.7686
1999,450000,广西壮族自治区,1953.27,554.48,695.83,702.96,28.3873,35.6239,35.9889,4147.9507
1999,430000,湖南省,3326.75,778.25,1297.74,1250.76,23.3937,39.0092,37.5971,5104.7261
1999,130000,河北省,4569.19,805.97,2243.59,1519.63,17.6392,49.1026,33.2582,6931.9637
1999,530000,云南省,1855.74,412.17,825.12,618.45,22.2105,44.4631,33.3263,4452.2444
1999,640000,宁夏回族自治区,241.49,48.01,102.68,90.8,19.8807,42.5194,37.5999,4472.6168
1999,320000,江苏省,7697.82,1003.51,3920.15,2774.16,13.0363,50.9255,36.1,10665.0503
1999,330000,浙江省,5364.89,631.94,2902.81,1830.14,11.7792,54.1075,34.1133,12036.5659
1999,340000,安徽省,2908.58,741.1427,1278.91,888.54,25.4811,43.9701,30.5488,4707.2224
1999,230000,黑龙江省,2897.41,377.23,1587.76,932.42,13.0196,54.7993,32.1812,7660.0397
1999,650000,新疆维吾尔自治区,1168.55,268.51,460.71,439.33,22.978,39.4258,37.5962,6469.7317
1999,630000,青海省,238.39,40.54,97.88,99.97,17.0057,41.0588,41.9355,4662.4291
1999,520000,贵州省,911.86,267.57,348.59,295.7,29.3433,38.2285,32.4282,2475.3042
1999,540000,西藏自治区,105.61,34.19,24,47.42,32.3738,22.7251,44.9011,4261.7328
1999,610000,陕西省,1487.61,267.51,641.9,578.2,17.9825,43.1498,38.8677,4101.4888
2000,500000,重庆市,1589.34,283,657.51,648.83,17.8061,41.37,40.8239,5157.3147
2000,110000,北京市,2478.76,89.97,943.51,1445.28,3.6296,38.0638,58.3066,22459.6566
2000,120000,天津市,1639.36,73.54,820.17,745.65,4.4859,50.0299,45.4842,17993.195
2000,430000,湖南省,3691.88,784.92,1461.86,1445.1,21.2607,39.5966,39.1427,5639.0149
2000,520000,贵州省,993.53,270.99,387.85,334.69,27.2755,39.0376,33.687,2661.5571
2000,142,中国,100280.1393,14717.3556,45663.6677,39899.116,14.6762,45.5361,39.7877,7942.0692
2000,510000,四川省,4010.25,945.58,1700.49,1364.18,23.5791,42.4036,34.0173,4783.7658
2000,450000,广西壮族自治区,2050.14,538.69,748,763.45,26.2758,36.4853,37.2389,4318.8119
2000,220000,吉林省,1821.19,398.73,800.28,622.18,21.8939,43.9427,34.1634,6847.4027
