UpdateTimes,Sgnyea,Prvcnm_id,Prvcnm,Tpt0101,Tpt0103,Tpt0104
1,2003,370000,山东省,3150.5,76266,76170
1,2003,440000,广东省,2112.5,110253,99733
1,2003,350000,福建省,1453.9,54876,42222
1,2003,120000,天津市,666.3,10168,9901
1,2003,220000,吉林省,3561.8,43779,41362
1,2003,410000,河南省,3654.2,73831,68739
1,2003,460000,海南省,221.7,20877,11894
1,2003,510000,四川省,2961.8,112543,75290
1,2003,520000,贵州省,1900.1,45304,32352
1,2003,630000,青海省,1091.8,24377,21568
1,2003,340000,安徽省,2219.7,69560,63374
1,2003,210000,辽宁省,4173.9,50095,49845
1,2003,430000,湖南省,2977.2,85233,39689
1,2003,650000,新疆维吾尔自治区,2773.3,83633,64029
1,2004,110000,北京市,1124.6,14630,14404
1,2004,310000,上海市,263.5,7805,7780
1,2004,350000,福建省,1453.9,56208,44594
1,2004,150000,内蒙古自治区,6337.3,75976,67421
1,2004,330000,浙江省,1249.9,46935,44316
1,2004,460000,海南省,385.6,20873,11948
1,2004,520000,贵州省,1890.6,46128,33850
1,2004,620000,甘肃省,2295.5,40751,31613
1,2004,430000,湖南省,2835.9,87875,44411
1,2004,142,中国,74408,1870700,1515826
1,2004,140000,山西省,3143.5,65813,63690
1,2004,420000,湖北省,2486.7,89673,72757
1,2004,530000,云南省,2328.1,167050,110876
1,2004,120000,天津市,661.6,10514,10420
1,2004,640000,宁夏回族自治区,791.9,12456,12325
1,2004,230000,黑龙江省,5564.9,66821,61303
1,2004,340000,安徽省,2353.1,71783,65800
1,2004,370000,山东省,3262.5,77766,77757
1,2004,440000,广东省,2181.4,111452,101707
1,2004,450000,广西壮族自治区,2737.6,59704,47304
1,2004,610000,陕西省,3151.2,52720,47324
1,2004,130000,河北省,4671.5,70200,61735
1,2004,210000,辽宁省,4174.2,52415,52196
1,2004,320000,江苏省,1606.4,78262,70141
1,2004,360000,江西省,2274.4,61860,40554
1,2004,410000,河南省,4090.3,75719,70901
1,2004,650000,新疆维吾尔自治区,2763.3,86824,68104
1,2004,220000,吉林省,3561.8,46796,44693
1,2004,500000,重庆市,718.2,32344,24046
1,2004,510000,四川省,2958,113043,76402
1,2004,540000,西藏自治区,,42203,10131
1,2004,630000,青海省,1090.3,28059,25322
1,2005,320000,江苏省,1615.6,82739,74958
1,2005,360000,江西省,2423.9,62300,43523
1,2005,420000,湖北省,2525.4,91131,76075
1,2005,530000,云南省,2328.1,167638,111920
1,2005,630000,青海省,1091.8,29720,26982
1,2005,650000,新疆维吾尔自治区,2761,89531,71599
1,2005,220000,吉林省,3561.8,50308,48487
1,2005,440000,广东省,2225.2,115337,106476
1,2005,150000,内蒙古自治区,6246.2,79029,70880
1,2005,142,中国,75437.6,3345187,1591791
1,2005,340000,安徽省,2353.2,72807,67083
1,2005,520000,贵州省,1985.7,46893,35447
1,2005,620000,甘肃省,2300,41330,32792
1,2005,330000,浙江省,1292.3,48600,46167
1,2005,510000,四川省,2960.4,114694,79337
1,2005,110000,北京市,1125.4,14696,14481
1,2005,430000,湖南省,2902,88200,45801
1,2005,130000,河北省,4652,75894,67229
1,2005,210000,辽宁省,4171.2,53521,53325
1,2005,230000,黑龙江省,5654.9,67077,61691
1,2005,370000,山东省,3319.3,80131,80131
1,2005,140000,山西省,3153.9,69563,67785
1,2005,410000,河南省,4098.7,79506,75003
1,2005,500000,重庆市,1269.2,38215,30835
1,2005,460000,海南省,221.7,21162,12671
1,2005,640000,宁夏回族自治区,791.9,13078,13001
1,2005,120000,天津市,664.6,10836,10791
1,2005,310000,上海市,269.1,8110,8110
1,2005,350000,福建省,1613.1,58286,47987
1,2005,450000,广西壮族自治区,2728.8,62003,51046
1,2005,540000,西藏自治区,,43716,10905
1,2005,610000,陕西省,3131.2,54492,49274
1,2006,230000,黑龙江省,5654.3,139335,83546
1,2006,340000,安徽省,2387,147611,122584
1,2006,370000,山东省,3329.2,204910,199075
1,2006,440000,广东省,2167.9,178387,147702
1,2006,430000,湖南省,2905.6,171848,62419
1,2006,140000,山西省,3110.4,112930,96485
1,2006,500000,重庆市,1261.9,100299,41885
1,2006,220000,吉林省,3555.4,84444,68569
1,2006,630000,青海省,1652.4,47726,24638
1,2006,460000,海南省,224.1,17577,8346
1,2006,210000,辽宁省,4196.3,97786,75850
1,2006,350000,福建省,1612.8,86560,57934
1,2006,142,中国,77083.8,3456999,2282872
1,2006,420000,湖北省,2527,181791,135828
1,2006,520000,贵州省,2013.6,113278,49305
1,2006,450000,广西壮族自治区,2735.2,90318,52101
1,2006,510000,四川省,2986,164688,84882
1,2006,530000,云南省,2309.8,198496,99834
1,2006,640000,宁夏回族自治区,789.5,19903,18102
1,2006,110000,北京市,1121.5,20503,20223
1,2006,120000,天津市,744.7,11316,11306
1,2006,540000,西藏自治区,550,44813,15906
1,2006,610000,陕西省,3184.9,113303,60796
1,2006,320000,江苏省,1616.1,126972,108642
1,2006,360000,江西省,2423.7,128236,66664
1,2006,650000,新疆维吾尔自治区,2760.8,143736,69923
1,2006,130000,河北省,4818.2,143778,127354
1,2006,620000,甘肃省,2435.4,95642,42866
1,2006,150000,内蒙古自治区,6382.6,128762,83830
1,2006,310000,上海市,310.3,10392,10392
1,2006,330000,浙江省,1278.5,95310,85851
1,2006,410000,河南省,4038.7,236351,150028
1,2007,320000,江苏省,1618.767,133732,117698
1,2007,410000,河南省,4041.7,238676,164909
1,2007,420000,湖北省,2564.96,183780,147152
1,2007,150000,内蒙古自治区,6694.231,138610,90823
1,2007,530000,云南省,2308.358,200333,104771
1,2007,640000,宁夏回族自治区,789.385,20562,18934
1,2007,230000,黑龙江省,5755.2,140909,93850
1,2007,450000,广西壮族自治区,2734.171,94202,62861
1,2007,610000,陕西省,3185.1,121297,90829
1,2007,210000,辽宁省,4200.806,98101,76512
1,2007,340000,安徽省,2386.964,148372,128241
1,2007,360000,江西省,2566.357,130515,72374
1,2007,510000,四川省,2999.413,189395,115674
1,2007,630000,青海省,1652.4,52626,30636
1,2007,110000,北京市,1119.89,20754,20535
1,2007,330000,浙江省,1319.283,99812,92027
1,2007,440000,广东省,2174.821,182005,151692
1,2007,620000,甘肃省,2435.245,100612,50662
1,2007,310000,上海市,331.2,11163,11163
1,2007,430000,湖南省,2899.125,175415,91453
1,2007,460000,海南省,388.4,17789,9296
1,2007,130000,河北省,4837.83,147265,133123
1,2007,370000,山东省,3302.154,212237,207719
1,2007,500000,重庆市,1290.648,104705,49958
1,2007,650000,新疆维吾尔自治区,2760.505,145219,74534
1,2007,140000,山西省,3114.512,119869,107102
1,2007,220000,吉林省,3622.4,85445,71031
1,2007,540000,西藏自治区,550,48611,19510
1,2007,350000,福建省,1616.3,86926,63275
1,2007,120000,天津市,694.228,11531,11521
1,2007,142,中国,77965.903,3583715,2535383
1,2007,520000,贵州省,2011.55,123247,55517
1,2008,210000,辽宁省,4194.679,101144,80421
1,2008,310000,上海市,316.1,11497,11497
1,2008,430000,湖南省,2894.778,184568,118717
1,2008,530000,云南省,2308.762,203753,124526
1,2008,650000,新疆维吾尔自治区,2760.505,146652,81319
1,2008,140000,山西省,3323.752,124773,114215
1,2008,370000,山东省,3633.298,220688,217101
1,2008,460000,海南省,387.292,18563,11264
1,2008,520000,贵州省,1962.248,125365,64044
1,2008,320000,江苏省,1656.982,140930,129326
1,2008,360000,江西省,2650.493,133815,77343
1,2008,500000,重庆市,1290.519,108632,58978
1,2008,510000,四川省,3006.104,224482,140764
1,2008,540000,西藏自治区,2517.1,51314,22728
1,2008,440000,广东省,2164.755,183155,154878
1,2008,130000,河北省,4853.452,149503,137459
1,2008,142,中国,79687.282,3730164,2778521
1,2008,220000,吉林省,3828.564,87099,74531
1,2008,330000,浙江省,1319.327,103652,97349
