region,regionCode,year,ccnl
吉林省,220000,2006,403340.3962
江苏省,320000,2006,1338858.856
江西省,360000,2006,228115.7485
辽宁省,210000,2006,740554.7235
青海省,630000,2006,67248.65196
山东省,370000,2006,1692510.813
山西省,140000,2006,742158.4133
陕西省,610000,2006,512113.5058
四川省,510000,2006,415356.9357
台湾省,710000,2006,721817.5812
云南省,530000,2006,380193.284
浙江省,330000,2006,852410.4881
北京市,110000,2006,390764.347
上海市,310000,2006,344452.1803
天津市,120000,2006,300155.0296
重庆市,500000,2006,156129.2787
广西壮族自治区,450000,2006,304681.5455
内蒙古自治区,150000,2006,540289.7011
宁夏回族自治区,640000,2006,124055.1126
西藏自治区,540000,2006,25276.40378
新疆维吾尔自治区,650000,2006,540709.7472
澳门特别行政区,820000,2006,3861.671449
香港特别行政区,810000,2006,71975.44589
安徽省,340000,2007,536669.6934
福建省,350000,2007,473101.8805
甘肃省,620000,2007,234478.8266
广东省,440000,2007,1453820.574
贵州省,520000,2007,172540.5484
海南省,460000,2007,112899.1406
河北省,130000,2007,1216216.796
河南省,410000,2007,1026484.913
黑龙江省,230000,2007,903948.3399
湖北省,420000,2007,444409.3504
湖南省,430000,2007,361785.4937
吉林省,220000,2007,509784.6485
江苏省,320000,2007,1443363.012
江西省,360000,2007,279108.2676
辽宁省,210000,2007,862519.4553
青海省,630000,2007,73639.86382
山东省,370000,2007,1682025.824
山西省,140000,2007,691669.1513
陕西省,610000,2007,517268.9693
四川省,510000,2007,462799.8554
台湾省,710000,2007,658701.8142
云南省,530000,2007,424443.1953
浙江省,330000,2007,937949.9463
北京市,110000,2007,378555.0349
上海市,310000,2007,327393.1024
天津市,120000,2007,313086.0698
重庆市,500000,2007,174824.1475
广西壮族自治区,450000,2007,367039.9011
内蒙古自治区,150000,2007,614761.3449
宁夏回族自治区,640000,2007,127995.3269
西藏自治区,540000,2007,28206.60952
新疆维吾尔自治区,650000,2007,567246.3619
澳门特别行政区,820000,2007,3732.926367
香港特别行政区,810000,2007,64938.73145
安徽省,340000,2008,626649.6535
福建省,350000,2008,544371.5965
甘肃省,620000,2008,273198.5959
广东省,440000,2008,1567044.706
贵州省,520000,2008,174887.9695
海南省,460000,2008,143026.5662
河北省,130000,2008,1320708.107
河南省,410000,2008,1157596.522
黑龙江省,230000,2008,1100614.568
湖北省,420000,2008,487557.0986
湖南省,430000,2008,362951.7136
吉林省,220000,2008,526454.5066
江苏省,320000,2008,1635417.159
江西省,360000,2008,283579.2636
辽宁省,210000,2008,882137.8405
青海省,630000,2008,78207.9611
山东省,370000,2008,1707858.965
山西省,140000,2008,784387.1031
陕西省,610000,2008,606663
四川省,510000,2008,464492.7713
台湾省,710000,2008,674133.9142
云南省,530000,2008,459757.7487
浙江省,330000,2008,1038395.98
北京市,110000,2008,385708.6808
上海市,310000,2008,353893.4741
天津市,120000,2008,333599.27
重庆市,500000,2008,175828.5664
广西壮族自治区,450000,2008,414202.3215
内蒙古自治区,150000,2008,673734.7172
宁夏回族自治区,640000,2008,142329.9884
西藏自治区,540000,2008,27986.90763
新疆维吾尔自治区,650000,2008,579243.6075
澳门特别行政区,820000,2008,3852.79226
香港特别行政区,810000,2008,69948.68065
安徽省,340000,2009,469736.215
福建省,350000,2009,488764.5772
甘肃省,620000,2009,271101.6151
广东省,440000,2009,1445315.231
贵州省,520000,2009,176517.993
海南省,460000,2009,135660.9762
河北省,130000,2009,1435534.377
河南省,410000,2009,1086412.176
黑龙江省,230000,2009,1466433.247
湖北省,420000,2009,314824.5741
湖南省,430000,2009,267747.8236
吉林省,220000,2009,674056.089
江苏省,320000,2009,1505854.927
江西省,360000,2009,239189.3934
辽宁省,210000,2009,927289.8304
青海省,630000,2009,89560.19536
山东省,370000,2009,1870046.405
山西省,140000,2009,738674.0101
陕西省,610000,2009,584979.1125
四川省,510000,2009,509576.285
台湾省,710000,2009,648459.3217
云南省,530000,2009,450939.4117
浙江省,330000,2009,871694.1097
北京市,110000,2009,373240.5039
上海市,310000,2009,295914.9335
天津市,120000,2009,336099.1161
重庆市,500000,2009,174125.0072
广西壮族自治区,450000,2009,418226.9349
内蒙古自治区,150000,2009,734120.8068
宁夏回族自治区,640000,2009,144970.625
西藏自治区,540000,2009,27099.61295
新疆维吾尔自治区,650000,2009,514290.713
澳门特别行政区,820000,2009,3619.008097
香港特别行政区,810000,2009,58448.10249
安徽省,340000,2010,704394.7997
福建省,350000,2010,543649.1043
甘肃省,620000,2010,391796.5655
广东省,440000,2010,1418738.306
贵州省,520000,2010,219614.5266
