city,cityCode,year,hdmsp,province,provinceCode
阿坝藏族羌族自治州,513200,1992,437,四川省,510000
甘孜藏族自治州,513300,1992,305,四川省,510000
凉山彝族自治州,513400,1992,5161.960784,四川省,510000
楚雄彝族自治州,532300,1992,7255.886275,云南省,530000
大理白族自治州,532900,1992,6568.870588,云南省,530000
德宏傣族景颇族自治州,533100,1992,4224.909804,云南省,530000
迪庆藏族自治州,533400,1992,268,云南省,530000
红河哈尼族彝族自治州,532500,1992,21347.56078,云南省,530000
怒江傈僳族自治州,533300,1992,707.6627451,云南省,530000
文山壮族苗族自治州,532600,1992,3016.666667,云南省,530000
西双版纳傣族自治州,532800,1992,4044.839216,云南省,530000
白沙黎族自治县,469025,1992,490.054902,海南省,460000
保亭黎族苗族自治县,469029,1992,500.8666667,海南省,460000
昌江黎族自治县,469026,1992,2400.933333,海南省,460000
澄迈县,469023,1992,1777.803922,海南省,460000
定安县,469021,1992,489.254902,海南省,460000
东方市,469007,1992,3423.67451,海南省,460000
乐东黎族自治县,469027,1992,920,海南省,460000
临高县,469024,1992,1125.086275,海南省,460000
陵水黎族自治县,469028,1992,866.0117647,海南省,460000
琼海市,469002,1992,1219.419608,海南省,460000
琼中黎族苗族自治县,469030,1992,524.9529412,海南省,460000
屯昌县,469022,1992,372,海南省,460000
万宁市,469006,1992,2632.67451,海南省,460000
文昌市,469005,1992,812.6509804,海南省,460000
五指山市,469001,1992,611.1647059,海南省,460000
济源市,419001,1992,10198.93725,河南省,410000
潜江市,429005,1992,6694.827451,湖北省,420000
神农架林区,429021,1992,111.4705882,湖北省,420000
天门市,429006,1992,2416.996078,湖北省,420000
仙桃市,429004,1992,2693.588235,湖北省,420000
北京市,110000,1992,238528.7686,北京市,110000
上海市,310000,1992,184551.1333,上海市,310000
天津市,120000,1992,190401.7059,天津市,120000
重庆市,500000,1992,62250.71765,重庆市,500000
阿拉善盟,152900,1992,5390.415686,内蒙古自治区,150000
锡林郭勒盟,152500,1992,8336,内蒙古自治区,150000
兴安盟,152200,1992,7577.156863,内蒙古自治区,150000
阿里地区,542500,1992,6.058823529,西藏自治区,540000
阿克苏地区,652900,1992,23978,新疆维吾尔自治区,650000
