city,cityCode,year,viirsl,province,provinceCode
南充市,511300,2000,578.1668258,四川省,510000
内江市,511000,2000,216.5503018,四川省,510000
攀枝花市,510400,2000,3972.494763,四川省,510000
遂宁市,510900,2000,168.1917027,四川省,510000
雅安市,511800,2000,159.75447,四川省,510000
宜宾市,511500,2000,163.0291181,四川省,510000
资阳市,512000,2000,100.4574599,四川省,510000
自贡市,510300,2000,166.1459279,四川省,510000
保山市,530500,2000,990.2372729,云南省,530000
昆明市,530100,2000,31825.9434,云南省,530000
丽江市,530700,2000,738.6565599,云南省,530000
临沧市,530900,2000,894.5009244,云南省,530000
普洱市,530800,2000,896.5739001,云南省,530000
曲靖市,530300,2000,5925.993537,云南省,530000
玉溪市,530400,2000,3674.030791,云南省,530000
昭通市,530600,2000,770.9129728,云南省,530000
杭州市,330100,2000,20127.10526,浙江省,330000
湖州市,330500,2000,2683.586708,浙江省,330000
嘉兴市,330400,2000,5760.68272,浙江省,330000
金华市,330700,2000,4422.193606,浙江省,330000
丽水市,331100,2000,715.3674338,浙江省,330000
宁波市,330200,2000,11411.7196,浙江省,330000
衢州市,330800,2000,928.8288423,浙江省,330000
绍兴市,330600,2000,4385.19308,浙江省,330000
台州市,331000,2000,5771.519103,浙江省,330000
温州市,330300,2000,9573.354064,浙江省,330000
舟山市,330900,2000,659.497396,浙江省,330000
甘南藏族自治州,623000,2000,242.1273518,甘肃省,620000
临夏回族自治州,622900,2000,317.9550964,甘肃省,620000
黔东南苗族侗族自治州,522600,2000,743.3292225,贵州省,520000
黔南布依族苗族自治州,522700,2000,858.4080102,贵州省,520000
黔西南布依族苗族自治州,522300,2000,672.7122622,贵州省,520000
恩施土家族苗族自治州,422800,2000,420.4653566,湖北省,420000
湘西土家族苗族自治州,433100,2000,319.7112667,湖南省,430000
延边朝鲜族自治州,222400,2000,6852.312687,吉林省,220000
果洛藏族自治州,632600,2000,7.873200673,青海省,630000
海北藏族自治州,632200,2000,135.1383191,青海省,630000
海南藏族自治州,632500,2000,261.4038266,青海省,630000
海西蒙古族藏族自治州,632800,2000,1668.747081,青海省,630000
黄南藏族自治州,632300,2000,175.1323003,青海省,630000
玉树藏族自治州,632700,2000,103.8876504,青海省,630000
阿坝藏族羌族自治州,513200,2000,538.6836103,四川省,510000
甘孜藏族自治州,513300,2000,378.3228693,四川省,510000
凉山彝族自治州,513400,2000,1056.047198,四川省,510000
楚雄彝族自治州,532300,2000,1755.501403,云南省,530000
大理白族自治州,532900,2000,3715.433112,云南省,530000
德宏傣族景颇族自治州,533100,2000,826.2770238,云南省,530000
迪庆藏族自治州,533400,2000,169.5143782,云南省,530000
红河哈尼族彝族自治州,532500,2000,4098.383409,云南省,530000
怒江傈僳族自治州,533300,2000,115.9928272,云南省,530000
文山壮族苗族自治州,532600,2000,876.7166553,云南省,530000
西双版纳傣族自治州,532800,2000,761.0122942,云南省,530000
