city,cityCode,year,ccnl,province,provinceCode
湘潭市,430300,1993,4651.154873,湖南省,430000
益阳市,430900,1993,1876.451904,湖南省,430000
永州市,431100,1993,2894.988889,湖南省,430000
岳阳市,430600,1993,6107.120457,湖南省,430000
张家界市,430800,1993,1093.516018,湖南省,430000
长沙市,430100,1993,10455.98737,湖南省,430000
株洲市,430200,1993,5212.555718,湖南省,430000
白城市,220800,1993,7109.157627,吉林省,220000
白山市,220600,1993,9917.112411,吉林省,220000
吉林市,220200,1993,38175.5502,吉林省,220000
辽源市,220400,1993,11125.51221,吉林省,220000
四平市,220300,1993,19380.12896,吉林省,220000
松原市,220700,1993,17410.46602,吉林省,220000
通化市,220500,1993,14514.43475,吉林省,220000
长春市,220100,1993,65213.13587,吉林省,220000
常州市,320400,1993,20204.49421,江苏省,320000
淮安市,320800,1993,13315.75529,江苏省,320000
连云港市,320700,1993,14353.28539,江苏省,320000
南京市,320100,1993,41301.74854,江苏省,320000
南通市,320600,1993,32840.68982,江苏省,320000
苏州市,320500,1993,53443.55279,江苏省,320000
宿迁市,321300,1993,9496.291818,江苏省,320000
泰州市,321200,1993,17315.10636,江苏省,320000
无锡市,320200,1993,34445.12243,江苏省,320000
徐州市,320300,1993,31329.03707,江苏省,320000
盐城市,320900,1993,14393.62159,江苏省,320000
扬州市,321000,1993,19544.92303,江苏省,320000
镇江市,321100,1993,16436.89545,江苏省,320000
抚州市,361000,1993,1963.316509,江西省,360000
赣州市,360700,1993,6680.763628,江西省,360000
吉安市,360800,1993,3305.371515,江西省,360000
景德镇市,360200,1993,3194.830494,江西省,360000
九江市,360400,1993,6397.129071,江西省,360000
南昌市,360100,1993,11148.44075,江西省,360000
萍乡市,360300,1993,2303.372501,江西省,360000
