city,cityCode,year,hviirs,province,provinceCode
阿拉善盟,152900,2013,118251.8,内蒙古自治区,150000
锡林郭勒盟,152500,2013,228476.5608,内蒙古自治区,150000
兴安盟,152200,2013,55598.26275,内蒙古自治区,150000
阿里地区,542500,2013,38974.66667,西藏自治区,540000
阿克苏地区,652900,2013,534043.3843,新疆维吾尔自治区,650000
阿勒泰地区,654300,2013,49933.61961,新疆维吾尔自治区,650000
和田地区,653200,2013,220668.4941,新疆维吾尔自治区,650000
喀什地区,653100,2013,288481.3451,新疆维吾尔自治区,650000
塔城地区,654200,2013,181680.5765,新疆维吾尔自治区,650000
百色市,451000,2013,151398.1961,广西壮族自治区,450000
北海市,450500,2013,49763.13333,广西壮族自治区,450000
崇左市,451400,2013,75325.02745,广西壮族自治区,450000
防城港市,450600,2013,50964.7098,广西壮族自治区,450000
贵港市,450800,2013,81116.13725,广西壮族自治区,450000
桂林市,450300,2013,142639.4353,广西壮族自治区,450000
河池市,451200,2013,108006.3647,广西壮族自治区,450000
贺州市,451100,2013,60446.46275,广西壮族自治区,450000
来宾市,451300,2013,83882.22353,广西壮族自治区,450000
柳州市,450200,2013,125790.0392,广西壮族自治区,450000
南宁市,450100,2013,198661.2118,广西壮族自治区,450000
钦州市,450700,2013,80610.5098,广西壮族自治区,450000
梧州市,450400,2013,78545.94118,广西壮族自治区,450000
玉林市,450900,2013,96231.44706,广西壮族自治区,450000
巴彦淖尔市,150800,2013,210229.6353,内蒙古自治区,150000
包头市,150200,2013,187497.6549,内蒙古自治区,150000
赤峰市,150400,2013,361658.2353,内蒙古自治区,150000
鄂尔多斯市,150600,2013,561874.6235,内蒙古自治区,150000
呼和浩特市,150100,2013,212944.1882,内蒙古自治区,150000
呼伦贝尔市,150700,2013,137471.0667,内蒙古自治区,150000
通辽市,150500,2013,255756.7373,内蒙古自治区,150000
乌海市,150300,2013,44753.35294,内蒙古自治区,150000
乌兰察布市,150900,2013,262536.2784,内蒙古自治区,150000
固原市,640400,2013,69917.12157,宁夏回族自治区,640000
石嘴山市,640200,2013,66519.9451,宁夏回族自治区,640000
吴忠市,640300,2013,145666,宁夏回族自治区,640000
银川市,640100,2013,146442.0235,宁夏回族自治区,640000
中卫市,640500,2013,90624.02745,宁夏回族自治区,640000
昌都市,540300,2013,38402.41176,西藏自治区,540000
拉萨市,540100,2013,74593.87843,西藏自治区,540000
林芝市,540400,2013,60376.38824,西藏自治区,540000
那曲市,540600,2013,30188.63529,西藏自治区,540000
日喀则市,540200,2013,80235.11373,西藏自治区,540000
山南市,540500,2013,94410.80784,西藏自治区,540000
哈密市,650500,2013,222541.3176,新疆维吾尔自治区,650000
克拉玛依市,650200,2013,83634.89412,新疆维吾尔自治区,650000
吐鲁番市,650400,2013,167038.1176,新疆维吾尔自治区,650000
乌鲁木齐市,650100,2013,168286.6118,新疆维吾尔自治区,650000
巴音郭楞蒙古自治州,652800,2013,389899.2863,新疆维吾尔自治区,650000
博尔塔拉蒙古自治州,652700,2013,75827.75686,新疆维吾尔自治区,650000
昌吉回族自治州,652300,2013,338285.0157,新疆维吾尔自治区,650000
克孜勒苏柯尔克孜自治州,653000,2013,96743.6902,新疆维吾尔自治区,650000
伊犁哈萨克自治州,654000,2013,259845.6549,新疆维吾尔自治区,650000
阿拉尔市,659002,2013,30101.25098,新疆维吾尔自治区,650000
北屯市,659005,2013,1288.062745,新疆维吾尔自治区,650000
胡杨河市,659010,2013,13945.91765,新疆维吾尔自治区,650000
可克达拉市,659008,2013,10172.36471,新疆维吾尔自治区,650000
昆玉市,659009,2013,5238.764706,新疆维吾尔自治区,650000
石河子市,659001,2013,18322.45098,新疆维吾尔自治区,650000
双河市,659007,2013,10429.40392,新疆维吾尔自治区,650000
铁门关市,659006,2013,5807.596078,新疆维吾尔自治区,650000
图木舒克市,659003,2013,19923.96863,新疆维吾尔自治区,650000
五家渠市,659004,2013,15449.67843,新疆维吾尔自治区,650000
新星市,659011,2013,13532.67843,新疆维吾尔自治区,650000
澳门特别行政区,820000,2013,4172.341176,澳门特别行政区,820000
香港特别行政区,810000,2013,76285.4,香港特别行政区,810000
大兴安岭地区,232700,2014,17247.75294,黑龙江省,230000
台湾省,710000,2014,996019.749,台湾省,710000
安庆市,340800,2014,92462.08235,安徽省,340000
蚌埠市,340300,2014,84218.8549,安徽省,340000
亳州市,341600,2014,102715.302,安徽省,340000
池州市,341700,2014,49523.27843,安徽省,340000
滁州市,341100,2014,157883.9294,安徽省,340000
阜阳市,341200,2014,134948.4157,安徽省,340000
合肥市,340100,2014,206692.3882,安徽省,340000
淮北市,340600,2014,54408.0549,安徽省,340000
淮南市,340400,2014,87901.51765,安徽省,340000
黄山市,341000,2014,39120.74902,安徽省,340000
六安市,341500,2014,127652.7608,安徽省,340000
马鞍山市,340500,2014,82063.19216,安徽省,340000
宿州市,341300,2014,129936.8902,安徽省,340000
铜陵市,340700,2014,39787.84314,安徽省,340000
芜湖市,340200,2014,113886.2118,安徽省,340000
宣城市,341800,2014,98529.06667,安徽省,340000
福州市,350100,2014,233823.6784,福建省,350000
龙岩市,350800,2014,134838.5333,福建省,350000
南平市,350700,2014,136886.9725,福建省,350000
宁德市,350900,2014,125329.9176,福建省,350000
莆田市,350300,2014,90159.26275,福建省,350000
泉州市,350500,2014,264869.8627,福建省,350000
三明市,350400,2014,135548.5882,福建省,350000
厦门市,350200,2014,87005.4902,福建省,350000
漳州市,350600,2014,199307.1882,福建省,350000
白银市,620400,2014,101271.6196,甘肃省,620000
定西市,621100,2014,118216.7216,甘肃省,620000
嘉峪关市,620200,2014,25494.4902,甘肃省,620000
金昌市,620300,2014,45434.08627,甘肃省,620000
酒泉市,620900,2014,219503.9765,甘肃省,620000
兰州市,620100,2014,145265.8392,甘肃省,620000
陇南市,621200,2014,133474.5647,甘肃省,620000
平凉市,620800,2014,91143.49412,甘肃省,620000
庆阳市,621000,2014,220610.5373,甘肃省,620000
天水市,620500,2014,114836.4627,甘肃省,620000
武威市,620600,2014,103726.3451,甘肃省,620000
张掖市,620700,2014,115881.4118,甘肃省,620000
潮州市,445100,2014,59250.46275,广东省,440000
东莞市,441900,2014,168548.0275,广东省,440000
佛山市,440600,2014,195465.7569,广东省,440000
