region,regionCode,year,viirsl
西藏自治区,540000,2014,21542.1582
新疆维吾尔自治区,650000,2014,382920.5307
澳门特别行政区,820000,2014,5852.804154
香港特别行政区,810000,2014,73437.42879
安徽省,340000,2015,402411.7931
福建省,350000,2015,436460.2863
甘肃省,620000,2015,151712.5511
广东省,440000,2015,1108695.477
贵州省,520000,2015,186104.234
海南省,460000,2015,85386.19532
河北省,130000,2015,454936.4858
河南省,410000,2015,460492.6317
黑龙江省,230000,2015,253462.1405
湖北省,420000,2015,275041.0946
湖南省,430000,2015,226399.1605
吉林省,220000,2015,199208.9979
江苏省,320000,2015,1217960.495
江西省,360000,2015,141916.4883
辽宁省,210000,2015,442230.5015
青海省,630000,2015,57843.81851
山东省,370000,2015,716916.2177
山西省,140000,2015,313600.1526
陕西省,610000,2015,368086.2713
四川省,510000,2015,420726.6618
台湾省,710000,2015,660268.5045
云南省,530000,2015,276777.7484
浙江省,330000,2015,785406.778
北京市,110000,2015,308165.9409
上海市,310000,2015,434239.9939
天津市,120000,2015,271867.2442
重庆市,500000,2015,159091.4265
广西壮族自治区,450000,2015,238421.3252
内蒙古自治区,150000,2015,255605.9058
宁夏回族自治区,640000,2015,103710.5975
西藏自治区,540000,2015,25348.15418
新疆维吾尔自治区,650000,2015,365812.3444
澳门特别行政区,820000,2015,5723.568612
香港特别行政区,810000,2015,70430.81232
安徽省,340000,2016,441763.7782
福建省,350000,2016,425598.0572
甘肃省,620000,2016,167954.4325
广东省,440000,2016,1056347.625
贵州省,520000,2016,245132.2299
海南省,460000,2016,86850.94764
河北省,130000,2016,495453.7081
河南省,410000,2016,487142.9474
黑龙江省,230000,2016,291682.4587
湖北省,420000,2016,286068.8758
湖南省,430000,2016,255720.7604
吉林省,220000,2016,216154.1163
江苏省,320000,2016,1277049.362
江西省,360000,2016,161044.967
辽宁省,210000,2016,462646.8051
青海省,630000,2016,61897.3196
山东省,370000,2016,758369.433
山西省,140000,2016,322106.637
陕西省,610000,2016,386423.2966
四川省,510000,2016,493159.9072
台湾省,710000,2016,658201.0216
云南省,530000,2016,281565.7023
浙江省,330000,2016,830001.3321
北京市,110000,2016,346521.925
上海市,310000,2016,431408.2571
天津市,120000,2016,285702.4058
重庆市,500000,2016,194774.7032
广西壮族自治区,450000,2016,252157.407
内蒙古自治区,150000,2016,293743.0618
宁夏回族自治区,640000,2016,123980.2144
西藏自治区,540000,2016,27172.96575
新疆维吾尔自治区,650000,2016,405065.2824
澳门特别行政区,820000,2016,5016.495149
香港特别行政区,810000,2016,65435.4429
安徽省,340000,2017,548394.8321
福建省,350000,2017,554366.5789
甘肃省,620000,2017,181491.5807
广东省,440000,2017,1263168.019
贵州省,520000,2017,280584.3942
