year,countyCode,total_sol,urban_sol,agriculture_sol
2001,510705,10.65284431,1.066334248,0
2001,510703,2573.375369,2117.379792,248.9684941
2001,510704,454.5042536,313.9239464,84.35613741
2001,511303,78.60287755,78.53546113,0
2001,511304,84.05786703,56.97886115,9.154472612
2001,511302,657.6620454,618.7322473,23.79545186
2001,511011,140.9769654,124.8886791,12.57390451
2001,511002,127.8702337,119.9731898,2.911474347
2001,510402,3387.627305,2385.58907,128.5403148
2001,510411,796.6361701,166.013518,120.298726
2001,510403,641.4922741,280.1833019,53.08813904
2001,510904,3.699251652,0,2.331557989
2001,510903,385.3496895,374.6189696,3.378910065
2001,511803,0,0,0
2001,511802,64.32424152,57.79598892,0
2001,511502,378.7556349,333.3204769,2.692735434
2001,511503,22.77575147,15.84790671,0
2001,511504,138.0741113,108.0594897,13.4848206
2001,512002,349.7437769,327.0313147,14.11674106
2001,510304,181.4069862,168.8478933,1.325820431
2001,510303,16.41810525,12.91845859,0
2001,510311,23.61532274,8.181702442,4.561590366
2001,510302,380.5752908,360.5439534,9.245456879
2001,511132,0,0,0
2001,511133,5.96960187,0,0
2001,510726,13.67138851,1.04357636,0
2001,340822,85.45553672,80.59219015,4.863346577
2001,340826,22.70614779,22.70614779,0
2001,340825,22.0805707,22.0805707,0
2001,340827,53.74359739,49.23327839,4.510318995
2001,340828,57.68198121,35.3521781,0
2001,340323,76.17941535,74.86269212,1.316723228
2001,340321,64.95539499,58.43596316,1.003088474
2001,340322,42.9836514,33.08612728,8.849483132
2001,341623,97.97413707,89.8824569,6.66337347
2001,341622,225.5665135,223.1602648,1.019396544
2001,341621,229.7503031,217.726153,9.64673543
2001,341721,30.41298619,24.144192,1.074269652
2001,341723,27.88927126,20.78572941,0
2001,341722,12.4759798,8.901088357,0
2001,341125,93.84413981,90.16015291,3.683986902
2001,341126,62.89305258,62.89305258,0
2001,341122,58.4613899,54.83936393,2.378890514
2001,341124,92.83978665,89.38446033,3.455326319
2001,341225,100.9788951,95.94434619,5.034548879
2001,341221,116.7405453,115.7134646,1.027080655
2001,341222,205.6845045,203.1611688,2.523335695
2001,341226,115.9539008,112.3059638,3.647937059
2001,340122,120.9383467,104.3076334,16.63071322
2001,340123,173.4479038,166.1571061,7.290797644
2001,340124,125.9307935,119.8782822,3.109524675
2001,340121,44.11797404,41.49687397,2.621100068
2001,340621,415.867458,367.9008369,42.33450054
2001,340421,126.8477777,112.9057748,12.89775229
2001,340422,130.0109258,115.5937791,9.213227391
2001,341024,11.52631462,8.214042068,0
2001,341021,74.77169335,56.31132817,16.09652567
2001,341022,41.26615355,32.92057345,0
2001,341023,11.38272035,6.072746992,0
2001,341522,112.4085506,108.2247951,4.183755517
2001,341525,84.33344305,76.06436896,1.343184948
2001,341524,29.04389787,9.999286056,1.095832586
2001,341523,76.93199468,71.31195146,2.099057377
2001,340521,57.93132374,51.94334698,0.474728553
2001,340522,48.40571356,46.10012603,2.30558753
2001,340523,63.03238916,57.94583225,5.086556911
2001,341321,92.69874084,91.51057065,1.188170195
2001,341323,55.98704946,55.98704946,0
2001,341324,37.34808362,33.7477318,3.60035181
2001,341322,92.67978283,84.81330538,5.109743512
2001,340722,39.48943214,29.57947818,1.604718447
2001,340223,68.58291638,66.32956624,1.141020536
2001,341824,37.35581076,30.17393816,5.656383991
2001,341823,50.36298573,44.25762856,1.662620306
2001,341825,13.69284201,12.16527557,1.527566433
2001,341821,8.540182471,8.540182471,0
2001,340882,31.26513374,28.57276452,0
2001,340881,82.25995155,80.04972739,0
2001,341182,77.07016766,70.41961098,6.650556684
2001,341181,151.4550662,129.5002906,20.73208821
2001,341282,120.6142211,120.6142211,0
2001,340181,504.059534,441.3858646,34.26306736
2001,340281,135.2674752,127.7141427,2.7109774
2001,341882,31.12420297,27.40628016,3.717922807
2001,341881,179.9114401,135.3750018,33.8825562
2001,340803,606.6567675,584.799172,2.744762421
2001,340811,444.5524411,438.9835427,2.702235092
2001,340802,198.8241096,188.9654313,2.645735036
2001,340303,273.6729725,249.9709722,22.91356356
2001,340311,49.59215595,47.54480332,1.047727466
2001,340302,101.1395833,101.1395833,0
2001,340304,416.4067141,406.1211676,10.28554653
2001,341602,720.8441949,714.6332672,6.210927725
2001,341702,316.6513374,303.3912468,2.502656698
2001,341102,372.5061633,362.4191796,7.449920202
2001,341103,69.90671757,64.0555453,5.189813918
2001,341203,170.0426325,170.0426325,0
2001,341204,251.6882902,192.8197945,39.59968424
2001,341202,582.9934584,581.6425312,1.350927114
2001,340111,1789.752095,1787.108077,2.644017816
2001,340103,1274.025112,1262.387595,8.542951107
2001,340104,2512.752415,2496.927648,0
2001,340102,1673.832177,1667.531565,6.300611734
2001,340602,207.8378458,180.9820241,21.97822303
2001,340604,132.8072342,110.7290527,12.48662066
2001,340603,967.2906653,931.0446409,32.50950865
2001,340405,99.71256663,99.71256663,0
2001,340402,139.4125241,136.2197212,3.192802906
2001,340406,69.86084737,68.98799897,0
2001,340403,665.7701814,662.9374465,2.527930737
2001,340404,64.53569208,64.53569208,0
2001,341003,34.04017055,28.6727742,0
2001,341004,52.62727141,48.55177319,4.075498223
2001,341002,520.7261204,485.178868,11.81496477
2001,341502,100.0025183,97.66401813,2.338500201
2001,341504,15.23813677,13.70126796,0
2001,341503,217.163422,203.3702316,5.185063004
2001,340506,0,0,0
2001,340503,2015.820603,2008.7658,1.506941671
2001,340504,855.8961393,839.8882949,2.819781269
2001,341302,809.4713206,801.5466588,7.924661875
2001,340711,26.92267204,23.92756689,1.707545519
2001,340705,705.4535073,679.6427508,15.73264692
2001,340706,62.15638761,53.01706935,0.366261742
2001,340211,48.70267868,43.70035303,2.875686884
2001,340202,1835.1961,1810.645995,0.020760237
2001,340207,926.1219714,784.455667,48.29054166
2001,340210,55.52324426,49.1455307,2.331026316
2001,340209,509.6610604,496.1968806,12.31062484
2001,341802,171.9489803,169.4091293,2.539851069
