SgnYear,AreaID,CountyName,PrefLevCity,Province,CountyCode,FixAst
2000,20406535,广安区,广安市,四川省,511602,14.94
2000,20406536,岳池县,广安市,四川省,511621,5.4
2000,20406537,武胜县,广安市,四川省,511622,5.65
2000,20406538,邻水县,广安市,四川省,511623,4.52
2000,20406539,华蓥市,广安市,四川省,511681,5.28
2000,20406542,通川区,达州市,四川省,511702,9.42
2000,20406543,达县,达州市,四川省,511721,5.86
2000,20406544,宣汉县,达州市,四川省,511722,4.29
2000,20406545,开江县,达州市,四川省,511723,3.35
2000,20406546,大竹县,达州市,四川省,511724,7.23
2000,20406547,渠县,达州市,四川省,511725,6
2000,20406548,万源市,达州市,四川省,511781,3.37
2000,20406551,雨城区,雅安市,四川省,511802,7.05
2000,20406552,名山县,雅安市,四川省,511821,2.33
2000,20406553,荥经县,雅安市,四川省,511822,2.62
2000,20406554,汉源县,雅安市,四川省,511823,2.62
2000,20406555,石棉县,雅安市,四川省,511824,3.98
2000,20406556,天全县,雅安市,四川省,511825,2.35
2000,20406557,芦山县,雅安市,四川省,511826,1.88
2000,20406558,宝兴县,雅安市,四川省,511827,4.4
2000,20406561,巴州区,巴中市,四川省,511902,10.88
2000,20407358,通江县,巴中市,四川省,511921,3.11
2000,20407359,南江县,巴中市,四川省,511922,2.67
2000,20407360,平昌县,巴中市,四川省,511923,2.72
2000,20407363,雁江区,资阳市,四川省,512002,9.14
2000,20407364,安岳县,资阳市,四川省,512021,4.97
2000,20407365,乐至县,资阳市,四川省,512022,3.16
2000,20407366,简阳市,资阳市,四川省,512081,4.01
2000,20407442,汶川县,阿坝藏族羌族自治州,四川省,513221,4.17
2000,20407443,理县,阿坝藏族羌族自治州,四川省,513222,0.77
2000,20407444,茂县,阿坝藏族羌族自治州,四川省,513223,1.81
2000,20407445,松潘县,阿坝藏族羌族自治州,四川省,513224,1.77
2000,20407446,九寨沟县,阿坝藏族羌族自治州,四川省,513225,3.11
2000,20407447,金川县,阿坝藏族羌族自治州,四川省,513226,0.46
2000,20407448,小金县,阿坝藏族羌族自治州,四川省,513227,0.91
2000,20407449,黑水县,阿坝藏族羌族自治州,四川省,513228,0.75
2000,20407450,马尔康县,阿坝藏族羌族自治州,四川省,513229,1.1
2000,20407451,壤塘县,阿坝藏族羌族自治州,四川省,513230,0.46
2000,20407452,阿坝县,阿坝藏族羌族自治州,四川省,513231,0.68
2000,20407453,若尔盖县,阿坝藏族羌族自治州,四川省,513232,0.89
2000,20407454,红原县,阿坝藏族羌族自治州,四川省,513233,0.8
2000,20407456,康定县,甘孜藏族自治州,四川省,513321,5.44
2000,20407457,泸定县,甘孜藏族自治州,四川省,513322,1.28
2000,20406999,丹巴县,甘孜藏族自治州,四川省,513323,0.43
2000,20407000,九龙县,甘孜藏族自治州,四川省,513324,0.53
