SgnYear,AreaID,CountyName,PrefLevCity,Province,CountyCode,PopNum,Pop_Agr,Pop_NonAgr,ResdPop_Urban,ResdPop_Rural
2000,20405190,嵊泗县,舟山市,浙江省,330922,8.5,6.19,2.31,,
2000,20405201,临海市,台州市,浙江省,331082,109.83,96.5,13.33,,
2000,20405200,温岭市,台州市,浙江省,331081,113.8,97.79,16.01,,
2000,20405199,仙居县,台州市,浙江省,331024,45.48,41.06,4.42,,
2000,20405198,天台县,台州市,浙江省,331023,55.44,46.93,8.51,,
2000,20405197,三门县,台州市,浙江省,331022,40.02,36.23,3.79,,
2000,20405196,玉环县,台州市,浙江省,331021,38.89,21.84,17.05,,
2000,20405367,龙泉市,丽水市,浙江省,331181,27.42,23.44,3.98,,
2000,20405360,青田县,丽水市,浙江省,331121,48.43,43.47,4.96,,
2000,20405365,庆元县,丽水市,浙江省,331126,19.63,17.52,2.11,,
2000,20405361,缙云县,丽水市,浙江省,331122,43.58,39.91,3.67,,
2000,20405362,遂昌县,丽水市,浙江省,331123,22.57,19.19,3.38,,
2000,20405363,松阳县,丽水市,浙江省,331124,23.02,20.29,2.73,,
2000,20405366,景宁畲族自治县,丽水市,浙江省,331127,17.68,15.69,1.99,,
2000,20405364,云和县,丽水市,浙江省,331125,10.93,9.14,1.79,,
2000,20406768,千阳县,宝鸡市,陕西省,610328,12.77,11.21,1.56,,
2000,20406868,麟游县,宝鸡市,陕西省,610329,8.71,7.6,1.11,,
2000,20406869,凤县,宝鸡市,陕西省,610330,9.84,7.7,2.14,,
2000,20406870,太白县,宝鸡市,陕西省,610331,5.17,4.02,1.14,,
2000,20407026,秦都区,咸阳市,陕西省,610402,91.45,68.53,22.92,,
2000,20407027,杨陵区,咸阳市,陕西省,610403,13.27,8.73,4.55,,
2000,20407028,渭城区,咸阳市,陕西省,610404,37.17,14.67,22.5,,
2000,20407029,三原县,咸阳市,陕西省,610422,39.63,32.63,6.99,,
2000,20407030,泾阳县,咸阳市,陕西省,610423,48.34,43.88,4.45,,
2000,20407031,乾县,咸阳市,陕西省,610424,54.2,50.32,3.87,,
2000,20407032,礼泉县,咸阳市,陕西省,610425,45.56,40.54,5.02,,
2000,20407033,永寿县,咸阳市,陕西省,610426,18.28,16.46,1.82,,
2000,20407034,彬县,咸阳市,陕西省,610427,31.63,28.81,2.82,,
2000,20407035,长武县,咸阳市,陕西省,610428,17.11,15.7,1.41,,
2000,20407036,旬邑县,咸阳市,陕西省,610429,26.76,24.93,1.83,,
2000,20407037,淳化县,咸阳市,陕西省,610430,18.6,16.76,1.84,,
2000,20407038,武功县,咸阳市,陕西省,610431,90.3,86.34,3.96,,
2000,20407039,兴平市,咸阳市,陕西省,610481,55.5,44.3,11.2,,
2000,20407042,临渭区,渭南市,陕西省,610502,88.44,65.94,22.5,,
2000,20407043,华县,渭南市,陕西省,610521,34.38,27.37,7.01,,
2000,20407044,潼关县,渭南市,陕西省,610522,14.46,11.21,3.25,,
2000,20407045,大荔县,渭南市,陕西省,610523,68.93,62.63,6.3,,
2000,20407046,合阳县,渭南市,陕西省,610524,43.46,39.51,3.96,,
2000,20407145,澄城县,渭南市,陕西省,610525,38.51,31.16,7.35,,
2000,20407146,蒲城县,渭南市,陕西省,610526,73.37,63.56,9.81,,
2000,20407147,白水县,渭南市,陕西省,610527,27.74,22.76,4.98,,
2000,20407221,富平县,渭南市,陕西省,610528,75.53,67.49,8.04,,
2000,20407222,韩城市,渭南市,陕西省,610581,38.25,26.77,11.48,,
2000,20407223,华阴市,渭南市,陕西省,610582,25.95,18.1,7.85,,
2000,20407226,宝塔区,延安市,陕西省,610602,34.04,20.1,13.94,,
2000,20407227,延长县,延安市,陕西省,610621,14.2,12.03,2.17,,
2000,20407228,延川县,延安市,陕西省,610622,18.03,15.37,2.66,,
2000,20407229,子长县,延安市,陕西省,610623,22.92,19.31,3.61,,
2000,20407230,安塞县,延安市,陕西省,610624,15.1,13.65,1.45,,
2000,20407231,志丹县,延安市,陕西省,610625,11.8,10.34,1.46,,
2000,20407232,吴旗县,延安市,陕西省,610626,12.1,10.7,1.4,,
2000,20407233,甘泉县,延安市,陕西省,610627,7.46,5.62,1.84,,
2000,20407234,富县,延安市,陕西省,610628,14.26,11.63,2.63,,
2000,20407235,洛川县,延安市,陕西省,610629,19.09,16.12,2.96,,
2000,20407236,宜川县,延安市,陕西省,610630,11.22,9.64,1.58,,
2000,20407237,黄龙县,延安市,陕西省,610631,4.7,3.46,1.24,,
2000,20407238,黄陵县,延安市,陕西省,610632,11.74,7.7,4.04,,
2000,20407241,汉台区,汉中市,陕西省,610702,50.5,28.14,22.36,,
2000,20407242,南郑县,汉中市,陕西省,610721,53.89,47.01,6.88,,
2000,20407243,城固县,汉中市,陕西省,610722,50.06,42.87,7.19,,
2000,20407342,洋县,汉中市,陕西省,610723,44.08,38.69,5.4,,
2000,20407417,西乡县,汉中市,陕西省,610724,39.8,35.05,4.75,,
2000,20407418,勉县,汉中市,陕西省,610725,41.89,34.57,7.32,,
2000,20407419,宁强县,汉中市,陕西省,610726,33.16,29.98,3.19,,
2000,20407420,略阳县,汉中市,陕西省,610727,20.21,14.87,5.34,,
2000,20407421,镇巴县,汉中市,陕西省,610728,27.37,24.98,2.39,,
2000,20407422,留坝县,汉中市,陕西省,610729,4.59,3.83,0.76,,
2000,20407423,佛坪县,汉中市,陕西省,610730,3.38,2.72,0.66,,
2000,20407426,榆阳区,榆林市,陕西省,610802,41,29.74,11.27,,
2000,20407427,神木县,榆林市,陕西省,610821,36.95,28.89,8.06,,
2000,20407428,府谷县,榆林市,陕西省,610822,21.18,17.79,3.39,,
2000,20407429,横山县,榆林市,陕西省,610823,32.09,29.54,2.55,,
2000,20407430,靖边县,榆林市,陕西省,610824,27.18,24.29,2.89,,
2000,20407431,定边县,榆林市,陕西省,610825,29.46,26.22,3.24,,
2000,20407432,绥德县,榆林市,陕西省,610826,34.2,29.86,4.34,,
2000,20407433,米脂县,榆林市,陕西省,610827,20.85,18.57,2.29,,
2000,20407434,佳县,榆林市,陕西省,610828,24.48,22.65,1.83,,
2000,20407435,吴堡县,榆林市,陕西省,610829,7.66,6.59,1.07,,
2000,20407436,清涧县,榆林市,陕西省,610830,20.88,19.04,1.84,,
