Sgnyea,Prvcnm_id,Prvcnm,Ifa0101,Ifa0102,Ifa0104
2002,370000,山东省,3483.31,,
2002,440000,广东省,3850.78,,
2002,142,中国,43499.9,35488.8,8011.1
2003,540000,西藏自治区,133.96,,
2003,630000,青海省,255.62,,
2003,460000,海南省,280.02,,
2003,640000,宁夏回族自治区,317.99,,
2003,620000,甘肃省,619.82,,
2003,520000,贵州省,748.12,,
2003,450000,广西壮族自治区,921.3,,
2003,220000,吉林省,969.03,,
2003,650000,新疆维吾尔自治区,973.39,,
2003,530000,云南省,1000.12,,
2003,120000,天津市,1039.39,,
2003,140000,山西省,1100.86,,
2003,500000,重庆市,1161.51,,
2003,230000,黑龙江省,1166.18,,
2003,150000,内蒙古自治区,1174.66,,
2003,610000,陕西省,1200.68,,
2003,360000,江西省,1303.22,,
2003,340000,安徽省,1418.69,,
2003,350000,福建省,1496.37,,
2003,430000,湖南省,1590.32,,
2003,420000,湖北省,1809.45,,
2003,210000,辽宁省,2076.36,,
2003,110000,北京市,2169.26,,
2003,410000,河南省,2262.97,,
2003,510000,四川省,2336.34,,
2003,130000,河北省,2477.98,,
2003,310000,上海市,2499.14,,
2003,330000,浙江省,4740.27,,
2003,440000,广东省,4813.2,,
2003,320000,江苏省,5233,,
2003,370000,山东省,5315.14,,
2003,142,中国,55566.6,45811.7,9754.9
2004,110000,北京市,2528.21,2333,195.2
2004,120000,天津市,1245.66,1128.68,116.99
2004,130000,河北省,3218.76,2441.98,776.78
2004,140000,山西省,1443.88,1315.21,128.67
2004,150000,内蒙古自治区,1787.95,1707.5,80.45
2004,210000,辽宁省,2979.59,2580.28,399.31
2004,220000,吉林省,1169.1,1059.35,109.74
2004,230000,黑龙江省,1430.82,1316.97,113.85
2004,310000,上海市,3050.26,2862.95,187.31
2004,320000,江苏省,6557.05,5008.21,1548.85
2004,330000,浙江省,5781.35,3998.77,1782.57
2004,340000,安徽省,1935.25,1613.01,322.24
2004,350000,福建省,1892.92,1594.54,298.38
2004,360000,江西省,1713.2,1477.89,235.31
2004,370000,山东省,6970.62,5418.55,1552.08
2004,410000,河南省,3099.38,2434.88,664.5
2004,420000,湖北省,2264.81,2005.15,259.66
2004,430000,湖南省,2072.56,1679.39,393.17
2004,440000,广东省,5870.02,5029.44,840.57
2004,450000,广西壮族自治区,1236.51,1094.62,141.89
2004,460000,海南省,317.05,291.02,26.03
2004,500000,重庆市,1537.05,1400.58,136.47
2004,510000,四川省,2818.42,2322.91,495.52
2004,520000,贵州省,865.23,780.24,85
2004,530000,云南省,1291.54,1112.97,178.56
2004,540000,西藏自治区,162.36,162.36,
2004,610000,陕西省,1508.89,1378.46,130.43
2004,620000,甘肃省,733.94,660.76,73.18
2004,630000,青海省,289.18,272.74,16.44
2004,640000,宁夏回族自治区,376.2,316.83,59.37
2004,650000,新疆维吾尔自治区,1147.15,1046.43,100.72
2004,142,中国,70477.43,59028.19,11449.25
2005,110000,北京市,2827.2346,2595.408,231.8266
2005,120000,天津市,1495.1431,1364.0032,131.1399
2005,130000,河北省,4139.6947,3307.768,831.9267
2005,140000,山西省,1826.5766,1666.4728,160.1038
2005,150000,内蒙古自治区,2643.6015,2555.2528,88.3487
2005,210000,辽宁省,4200.4485,3666.5196,533.9289
2005,220000,吉林省,1741.0949,1581.2551,159.8398
2005,230000,黑龙江省,1737.2743,1581.2177,156.0566
2005,310000,上海市,3509.6561,3198.5733,311.0828
2005,320000,江苏省,8165.3793,6218.8917,1946.4876
2005,330000,浙江省,6520.0741,4784.6787,1735.3954
2005,340000,安徽省,2525.1056,2126.6909,398.4147
2005,350000,福建省,2316.7239,1958.2994,358.4245
2005,360000,江西省,2176.5954,1902.6581,273.9373
2005,370000,山东省,9307.2988,7275.0622,2032.2366
2005,410000,河南省,4311.6327,3461.2327,850.4
2005,420000,湖北省,2676.5753,2387.4069,289.1684
2005,430000,湖南省,2629.0663,2203.9515,425.1148
2005,440000,广东省,6977.9265,5890.1057,1087.8208
2005,450000,广西壮族自治区,1661.1713,1480.9178,180.2535
2005,460000,海南省,367.1693,339.2444,27.9249
2005,500000,重庆市,1933.1582,1777.069,156.0892
2005,510000,四川省,3585.1815,2991.7744,593.4071
2005,520000,贵州省,998.2529,899.3332,98.9197
2005,530000,云南省,1777.6297,1592.2855,185.3442
2005,540000,西藏自治区,181.389,181.389,
2005,610000,陕西省,1882.1792,1740.8611,141.3181
2005,620000,甘肃省,870.361,786.0469,84.3141
2005,630000,青海省,329.8142,310.8377,18.9765
2005,640000,宁夏回族自治区,443.2509,381.9897,61.2612
2005,650000,新疆维吾尔自治区,1339.0555,1210.0053,129.0502
2005,142,中国,88773.6129,75095.1003,13678.5126
2006,110000,北京市,3296.3757,3012.4478,283.9279
2006,120000,天津市,1820.516,1678.9826,141.5334
2006,130000,河北省,5470.2356,4403.2251,1067.0105
2006,140000,山西省,2255.7351,2055.6854,200.0497
2006,150000,内蒙古自治区,3363.2077,3264.8644,98.3433
2006,210000,辽宁省,5689.6384,4977.8419,711.7965
2006,220000,吉林省,2594.3415,2366.0614,228.2801
2006,230000,黑龙江省,2235.9968,2040.4122,195.5846
2006,310000,上海市,3900.0368,3497.4751,402.5617
2006,320000,江苏省,10069.223,7479.6043,2589.6187
2006,330000,浙江省,7590.2212,5429.2766,2160.9446
2006,340000,安徽省,3533.5609,3050.1522,483.4087
2006,350000,福建省,2981.8231,2692.3568,289.4663
2006,360000,江西省,2683.5744,2375.3863,308.1881
2006,370000,山东省,11111.422,8715.5,2395.922
2006,410000,河南省,5904.7144,4840.8005,1063.9139
2006,420000,湖北省,3343.4672,3038.492,304.9752
2006,430000,湖南省,3175.5246,2718.4442,457.0804
2006,440000,广东省,7973.3691,6553.6703,1419.6988
2006,450000,广西壮族自治区,2198.7176,1947.8097,250.9079
2006,460000,海南省,423.8914,397.0009,26.8905
2006,500000,重庆市,2407.3568,2251.984,155.3728
2006,510000,四川省,4412.8753,3927.3709,485.5044
2006,520000,贵州省,1197.4272,1052.7924,144.6348
2006,530000,云南省,2208.6025,2001.8477,206.7548
2006,540000,西藏自治区,231.1415,200.6509,30.4906
2006,610000,陕西省,2480.6855,2285.7067,194.9788
2006,620000,甘肃省,1022.5882,923.9217,98.6665
2006,630000,青海省,408.5366,384.6142,23.9224
2006,640000,宁夏回族自治区,498.7452,438.733,60.0122
2006,650000,新疆维吾尔自治区,1567.0521,1418.011,149.0411
2006,142,中国,109998.1624,93368.6812,16629.4812
2007,110000,北京市,3907.1967,3597.2896,309.9071
2007,120000,天津市,2353.1494,2192.1691,160.9803
2007,130000,河北省,6884.6817,5690.3132,1194.3685
2007,140000,山西省,2861.4572,2600.2159,261.2413
2007,150000,内蒙古自治区,4372.8799,4255.0024,117.8775
2007,210000,辽宁省,7435.2262,6576.0474,859.1788
2007,220000,吉林省,3651.364,3340.1891,311.1749
2007,230000,黑龙江省,2833.4993,2591.6921,241.8072
2007,310000,上海市,4420.3747,4045.0984,375.2763
2007,320000,江苏省,12268.0635,9161.373,3106.6905
2007,330000,浙江省,8420.4275,5996.9318,2423.4957
2007,340000,安徽省,5087.53,4444.5832,642.9468
2007,350000,福建省,4287.7524,3829.0172,458.7352
2007,360000,江西省,3301.9427,2954.8723,347.0704
2007,370000,山东省,12537.7014,10153.5618,2384.1396
2007,410000,河南省,8010.1136,6609.1612,1400.9524
2007,420000,湖北省,4330.3573,3927.3552,403.0021
2007,430000,湖南省,4154.7577,3609.5398,545.2179
2007,440000,广东省,9294.2635,7368.6867,1925.5768
2007,450000,广西壮族自治区,2939.6701,2596.7374,342.9327
2007,460000,海南省,502.3744,472.767,29.6074
2007,500000,重庆市,3127.7376,2937.0695,190.6681
2007,510000,四川省,5639.7996,5043.4159,596.3837
2007,520000,贵州省,1488.8043,1289.1302,199.6741
2007,530000,云南省,2759.0333,2443.7911,315.2422
2007,540000,西藏自治区,270.3427,230.8271,39.5156
2007,610000,陕西省,3415.0239,3168.8196,246.2043
2007,620000,甘肃省,1304.157,1177.4632,126.6938
2007,630000,青海省,482.843,443.6907,39.1523
2007,640000,宁夏回族自治区,599.7984,527.6947,72.1037
2007,650000,新疆维吾尔自治区,1850.8415,1659.1894,191.6521
2007,142,中国,137323.9381,117464.4688,19859.4693
2008,110000,北京市,3814.7291,3520.947,293.7821
2008,120000,天津市,3389.7939,3175.1374,214.6565
2008,130000,河北省,8866.5605,7463.7742,1402.7863
2008,140000,山西省,3531.1563,3194.5681,336.5882
2008,150000,内蒙古自治区,5475.4076,5327.0411,148.3665
2008,210000,辽宁省,10019.0695,8881.9463,1137.1232
2008,220000,吉林省,5038.9232,4592.708,446.2152
2008,230000,黑龙江省,3655.965,3354.8229,301.1421
2008,310000,上海市,4823.1478,4404.9457,418.2021
2008,320000,江苏省,15300.5502,11609.7148,3690.8354
2008,330000,浙江省,9323.002,6551.1014,2771.9006
2008,340000,安徽省,6746.9586,5948.6101,798.3485
2008,350000,福建省,5207.6821,4601.4982,606.1839
2008,360000,江西省,4745.4333,4325.3781,420.0552
2008,370000,山东省,15435.9284,12528.9581,2906.9703
2008,410000,河南省,10490.6446,8721.1879,1769.4567
2008,420000,湖北省,5647.0131,5148.7584,498.2547
2008,430000,湖南省,5534.0361,4879.9577,654.0784
2008,440000,广东省,10868.6726,8640.8744,2227.7982
2008,450000,广西壮族自治区,3756.4125,3325.9456,430.4669
2008,460000,海南省,705.4233,668.0173,37.406
2008,500000,重庆市,3979.5921,3715.8987,263.6934
2008,510000,四川省,7127.813,6362.0844,765.7286
2008,520000,贵州省,1864.4524,1609.3428,255.1096
2008,530000,云南省,3435.9252,3106.3328,329.5924
2008,540000,西藏自治区,309.9149,271.2546,38.6603
2008,610000,陕西省,4614.4216,4286.423,327.9986
2008,620000,甘肃省,1712.7757,1510.7526,202.0231
2008,630000,青海省,583.2406,514.0482,69.1924
2008,640000,宁夏回族自治区,828.8537,735.7094,93.1443
2008,650000,新疆维吾尔自治区,2259.9746,2025.6393,234.3353
2008,142,中国,172828.3998,148738.3048,24090.095
2009,110000,北京市,4616.9211,4149.6286,467.2925
2009,120000,天津市,4738.2019,4446.5679,291.634
2009,130000,河北省,12269.7999,10476.5014,1793.2985
2009,140000,山西省,4943.1618,4509.5569,433.6049
2009,150000,内蒙古自治区,7336.7901,7143.8367,192.9534
2009,210000,辽宁省,12292.4933,11605.1207,687.3726
2009,220000,吉林省,6411.5984,5958.9498,452.6486
2009,230000,黑龙江省,5028.8297,4695.7424,333.0873
2009,310000,上海市,5043.7528,4618.9096,424.8432
2009,320000,江苏省,18949.8746,14266.8014,4683.0732
2009,330000,浙江省,10742.321,7454.3262,3287.9948
2009,340000,安徽省,8990.727,7945.4978,1045.2292
2009,350000,福建省,6231.2039,5548.6078,682.5961
2009,360000,江西省,6643.1422,6008.1185,635.0237
2009,370000,山东省,19034.5274,15439.097,3595.4304
2009,410000,河南省,13704.5039,11454.8894,2249.6145
2009,420000,湖北省,7866.8891,7183.6717,683.2174
2009,430000,湖南省,7703.3812,6880.0027,823.3785
2009,440000,广东省,12933.1217,10230.0526,2703.0691
2009,450000,广西壮族自治区,5237.2398,4689.8801,547.3597
2009,460000,海南省,988.3153,942.6794,45.6359
2009,500000,重庆市,5214.2803,4855.1053,359.175
2009,510000,四川省,11371.8725,9090.0851,2281.7874
2009,520000,贵州省,2412.0161,2049.8252,362.1909
2009,530000,云南省,4526.3729,4117.5129,408.86
2009,540000,西藏自治区,378.2757,327.635,50.6407
2009,610000,陕西省,6246.9044,5888.3715,358.5329
2009,620000,甘肃省,2363.0018,2076.3582,286.6436
2009,630000,青海省,798.23,689.0893,109.1407
2009,640000,宁夏回族自治区,1075.9058,964.1606,111.7452
2009,650000,新疆维吾尔自治区,2725.4512,2434.1466,291.3046
2009,142,中国,224598.7679,193920.3894,30678.3785
2010,110000,北京市,5402.952,4916.5257,486.4263
2010,120000,天津市,6278.0917,5896.5189,381.5728
2010,130000,河北省,15083.3532,12922.6572,2160.696
2010,140000,山西省,6063.1711,5526.6025,536.5686
2010,150000,内蒙古自治区,8926.4611,8687.9855,238.4756
2010,210000,辽宁省,16043.0255,15106.3279,936.6976
2010,220000,吉林省,7870.3844,7395.232,475.1524
2010,230000,黑龙江省,6812.5591,6292.674,519.8851
2010,310000,上海市,5108.8956,4630.4723,478.4233
2010,320000,江苏省,23184.2827,17416.4655,5767.8172
2010,330000,浙江省,12376.036,8438.0751,3937.9609
2010,340000,安徽省,11542.938,10281.286,1261.652
2010,350000,福建省,8199.1248,7385.7807,813.3441
2010,360000,江西省,8772.2717,7856.9409,915.3308
2010,370000,山东省,23280.5154,18844.4068,4436.1086
2010,410000,河南省,16585.8591,13934.8197,2651.0394
2010,420000,湖北省,10262.697,9405.6302,857.0668
2010,430000,湖南省,9663.5841,8617.9844,1045.5997
2010,440000,广东省,15623.6976,12599.2607,3024.4369
2010,450000,广西壮族自治区,7057.5552,6383.2561,674.2991
2010,460000,海南省,1317.0434,1257.4997,59.5437
2010,500000,重庆市,6688.9139,6170.6095,518.3044
2010,510000,四川省,13116.7166,11061.3813,2055.3353
2010,520000,贵州省,3104.918,2609.3592,495.5588
2010,530000,云南省,5528.7146,5052.6134,476.1012
2010,540000,西藏自治区,462.669,404.9806,57.6884
2010,610000,陕西省,7963.6658,7569.9009,393.7649
2010,620000,甘肃省,3158.3401,2808.5506,349.7895
2010,630000,青海省,1016.8686,840.0123,176.8563
2010,640000,宁夏回族自治区,1444.1606,1292.802,151.3586
2010,650000,新疆维吾尔自治区,3423.2441,3065.1329,358.1112
2010,142,中国,251683.7688,243797.7939,36690.9655
2011,110000,北京市,5578.9271,5519.8403,
2011,120000,天津市,7067.6653,7040.6834,
2011,130000,河北省,16389.3255,15780.2568,
2011,140000,山西省,7073.0613,6837.6888,
2011,150000,内蒙古自治区,10365.1692,10252.9744,
2011,210000,辽宁省,17726.2865,17431.4614,
2011,220000,吉林省,7441.71,7226.6494,
2011,230000,黑龙江省,7475.3845,7157.9198,
2011,310000,上海市,4962.0742,4959.9267,
2011,320000,江苏省,26692.6245,26313.4617,
2011,330000,浙江省,14185.2838,13651.6501,
2011,340000,安徽省,12455.6893,12007.865,
2011,350000,福建省,9910.8906,9677.088,
2011,360000,江西省,9087.5985,8753.9281,
2011,370000,山东省,26749.6777,25907.3848,
2011,410000,河南省,17768.9528,16934.3229,
2011,420000,湖北省,12557.3401,12195.3892,
2011,430000,湖南省,11880.9154,11407.7428,
2011,440000,广东省,17069.2048,16599.1635,
2011,450000,广西壮族自治区,7990.6554,7580.8991,
2011,460000,海南省,1657.2337,1599.1401,
2011,500000,重庆市,7473.3787,7366.9542,
2011,510000,四川省,14222.2223,13687.7466,
2011,520000,贵州省,4235.9221,4026.468,
2011,530000,云南省,6190.9988,5932.7499,
2011,540000,西藏自治区,516.3099,516.3099,
2011,610000,陕西省,9431.0817,9108.9841,
2011,620000,甘肃省,3965.7903,3870.08,
2011,630000,青海省,1435.5769,1365.9129,
2011,640000,宁夏回族自治区,1644.7418,1589.141,
2011,650000,新疆维吾尔自治区,4632.1427,4444.9863,
2011,142,中国,311485.1254,302396.0592,
2012,110000,北京市,6112.3714,6064.8591,
2012,120000,天津市,7934.7828,7913.2603,
2012,130000,河北省,19661.2832,19104.6297,
2012,140000,山西省,8863.2642,8584.8533,
2012,150000,内蒙古自治区,11875.7409,11749.7701,
2012,210000,辽宁省,21836.2831,21535.3745,
