Sgnyea,Ctnm,Ctnm_id,Cttyp,Prvcnm_id,Prvcnm,Eect01,Eect02,Eect04
1992,西双版纳傣族自治州,532800,地级市,530000,云南省,78.9,13.7,
1992,大理白族自治州,532900,地级市,530000,云南省,308.6,29.2,
1992,德宏傣族景颇族自治州,533100,地级市,530000,云南省,93.1,11.7,
1992,怒江傈僳族自治州,533300,地级市,530000,云南省,44.3,4.7,
1992,迪庆藏族自治州,533400,地级市,530000,云南省,32.1,3.7,
1992,吐鲁番地区,652100,地级市,650000,新疆维吾尔自治区,49.0065,10.7941,
1992,哈密地区,652200,地级市,650000,新疆维吾尔自治区,42.0871,19.4964,
1992,昌吉回族自治州,652300,地级市,650000,新疆维吾尔自治区,132.1471,44.7697,
1992,博尔塔拉蒙古自治州,652700,地级市,650000,新疆维吾尔自治区,34.342,10.0419,
1992,巴音郭楞蒙古自治州,652800,地级市,650000,新疆维吾尔自治区,89.8972,34.8756,
1992,阿克苏地区,652900,地级市,650000,新疆维吾尔自治区,176.9521,43.7885,
1992,克孜勒苏柯尔克孜自治州,653000,地级市,650000,新疆维吾尔自治区,39.3108,8.1,
1992,喀什地区,653100,地级市,650000,新疆维吾尔自治区,291.1778,58.6837,
1992,和田地区,653200,地级市,650000,新疆维吾尔自治区,143.8701,18.6844,
1992,伊犁哈萨克自治州,654000,地级市,650000,新疆维吾尔自治区,343.523,109.4869,
1992,塔城地区,654200,地级市,650000,新疆维吾尔自治区,81.2813,23.765,
1992,阿勒泰地区,654300,地级市,650000,新疆维吾尔自治区,52.8618,20.1612,
1992,吐鲁番市,652101,地级市,650000,新疆维吾尔自治区,22.4009,6.0785,
1992,抚州市,361000,地级市,360000,江西省,344.6437,,
1992,晋中市,140700,地级市,140000,山西省,,,
1992,吕梁市,141100,地级市,140000,山西省,307.3672,38.64,
1992,池州市,341700,地级市,340000,安徽省,148.9914,16.0259,
1992,宣城市,341800,地级市,340000,安徽省,288.4151,38.442,
1992,巴彦淖尔市,150800,地级市,150000,内蒙古自治区,157.5119,,
1992,乌兰察布市,150900,地级市,150000,内蒙古自治区,329.1439,,
1992,兴安盟,152200,地级市,150000,内蒙古自治区,156.1693,,
1992,锡林郭勒盟,152500,地级市,150000,内蒙古自治区,89.388,,
1992,阿拉善盟,152900,地级市,150000,内蒙古自治区,16.3118,,
1992,延边朝鲜族自治州,222400,地级市,220000,吉林省,211.18,119.66,
1992,大兴安岭地区,232700,地级市,230000,黑龙江省,52.0452,44.1874,
1992,台州市,331000,地级市,330000,浙江省,520.51,49.55,
1992,恩施土家族苗族自治州,422800,地级市,420000,湖北省,364.82,32.95,
1992,湘西土家族苗族自治州,433100,地级市,430000,湖南省,237.12,29.4,
1992,来宾市,451300,地级市,450000,广西壮族自治区,376.2,41.6,
1992,崇左市,451400,地级市,450000,广西壮族自治区,530.7,51.5,
1992,广安市,511600,地级市,510000,四川省,1021.5,91,
1992,达州市,511700,地级市,510000,四川省,999.2,99.1,
1992,阿坝藏族羌族自治州,513200,地级市,510000,四川省,77,13.5,
1992,甘孜藏族自治州,513300,地级市,510000,四川省,83.6,12.3,
1992,凉山彝族自治州,513400,地级市,510000,四川省,368,40.1,
1992,庆阳市,621000,地级市,620000,甘肃省,84.9893,25.7617,
1992,临夏回族自治州,622900,地级市,620000,甘肃省,166.1616,14.0412,
1992,陇南市,621200,地级市,620000,甘肃省,172.1805,19.9489,
1992,甘南藏族自治州,623000,地级市,620000,甘肃省,59.7312,9.4264,
1992,定西市,621100,地级市,620000,甘肃省,263.8635,18.5528,
1992,商洛市,611000,地级市,610000,陕西省,232.5125,17.496,
1992,日喀则市,540200,地级市,540000,西藏自治区,57.3499,2.42,
1992,昌都市,540300,地级市,540000,西藏自治区,51.0882,,
