county,countyCode,year,hviirs,city,cityCode,province,provinceCode
伊通满族自治县,220323,2013,29633.47451,四平市,220300,吉林省,220000
前郭尔罗斯蒙古族自治县,220721,2013,59429.54118,松原市,220700,吉林省,220000
南江县,511922,2013,16177.07059,巴中市,511900,四川省,510000
平昌县,511923,2013,13909.76078,巴中市,511900,四川省,510000
通江县,511921,2013,11738.57647,巴中市,511900,四川省,510000
大邑县,510129,2013,15433.28235,成都市,510100,四川省,510000
金堂县,510121,2013,19910.01176,成都市,510100,四川省,510000
蒲江县,510131,2013,7402.027451,成都市,510100,四川省,510000
大竹县,511724,2013,17005.26667,达州市,511700,四川省,510000
开江县,511723,2013,9242.513725,达州市,511700,四川省,510000
渠县,511725,2013,16123.8,达州市,511700,四川省,510000
宣汉县,511722,2013,23784.2549,达州市,511700,四川省,510000
中江县,510623,2013,20643.47451,德阳市,510600,四川省,510000
邻水县,511623,2013,15513.13333,广安市,511600,四川省,510000
武胜县,511622,2013,10847.29804,广安市,511600,四川省,510000
岳池县,511621,2013,12902.99216,广安市,511600,四川省,510000
苍溪县,510824,2013,17366.23137,广元市,510800,四川省,510000
剑阁县,510823,2013,12568.41569,广元市,510800,四川省,510000
青川县,510822,2013,14308.13725,广元市,510800,四川省,510000
旺苍县,510821,2013,11247.26275,广元市,510800,四川省,510000
夹江县,511126,2013,9240.517647,乐山市,511100,四川省,510000
犍为县,511123,2013,10071.46667,乐山市,511100,四川省,510000
井研县,511124,2013,6254.552941,乐山市,511100,四川省,510000
沐川县,511129,2013,7769.686275,乐山市,511100,四川省,510000
古蔺县,510525,2013,17513.80392,泸州市,510500,四川省,510000
合江县,510522,2013,15932.45098,泸州市,510500,四川省,510000
泸县,510521,2013,14740.7098,泸州市,510500,四川省,510000
叙永县,510524,2013,11705.22745,泸州市,510500,四川省,510000
丹棱县,511424,2013,3675.090196,眉山市,511400,四川省,510000
洪雅县,511423,2013,9247.741176,眉山市,511400,四川省,510000
青神县,511425,2013,4245.678431,眉山市,511400,四川省,510000
