id,county,perreggdp2000,perreggdp2001,perreggdp2002,perreggdp2003,perreggdp2004,perreggdp2005,perreggdp2006,perreggdp2007,perreggdp2008,perreggdp2009,perreggdp2010,perreggdp2011,perreggdp2012,perreggdp2013,perreggdp2014,perreggdp2015,perreggdp2016,perreggdp2017,perreggdp2018,perreggdp2019,perreggdp2020,perreggdp2021,perreggdp2022
150221,土默特右旗,.60000002,.62,.67000002,.80000001,1.09,1.35,1.66,2.4400001,3.3,4.5100002,,8.4399996,10.27,11.32,11.8,11.95,11.97,,,,,,
150222,固阳县,.47999999,.46000001,.64999998,.83999997,1.11,1.42,1.72,2.3199999,3.01,3.73,,5.1199999,5.9499998,6.48,6.7600002,6.96,7.0599999,,,,,,
150223,达尔罕茂明安联合旗,.70999998,.69,1.22,1.67,2.8299999,3.8099999,5.1399999,5.8499999,7.0900002,8.9099998,,14.5,16.76,19.02,20.58,21.41,21.92,,,,,,
150302,海勃湾区,.95999998,1.0700001,1.2,1.63,1.78,2.23,2.6700001,3.1700001,3.8,4.6300001,5.3800001,6.0700002,7.1599998,7.3299999,7.8899999,7.5,7.7199998,,,,,,
150303,海南区,.99000001,1.17,1.42,2.1600001,3.03,4.3000002,4.52,5.6799998,7.5700002,9.6700001,12.17,14.69,16.43,16.040001,16.690001,14.59,15.01,,,,,,
150304,乌达区,.74000001,.82999998,.92000002,1.14,1.51,2.5799999,3.22,4.1300001,5.3499999,7.4099998,9.0699997,11.09,12.8,12.81,13.71,12.09,12.47,,,,,,
150402,红山区,.58999997,.64999998,.88,1.02,1.37,1.6900001,2.05,2.72,3.3900001,4.1999998,4.8600001,4.8200002,5.5999999,5.9499998,6.23,6.5500002,7.0900002,,,,,,
150403,元宝山区,.98000002,1.05,1.09,1.14,1.46,1.91,2.0899999,2.5999999,3.29,3.8800001,4.5300002,5.6700001,6.46,6.9299998,7.23,7.23,7.5,,,,,,
150404,松山区,.27000001,.30000001,.34999999,.41999999,.63,.76999998,.89999998,1.28,1.5599999,1.95,2.5899999,3.0599999,3.6300001,3.8599999,4.02,4.1799998,4.5,,,,,,
150421,阿鲁科尔沁旗,.23,.25999999,.28999999,.36000001,.49000001,.61000001,.77999997,.99000001,1.26,1.55,1.9299999,2.73,3.4100001,3.73,3.79,4.0999999,4.4299998,,,,,,
150422,巴林左旗,.25999999,.30000001,.34,.47,.5,.61000001,.81,1.17,1.3099999,1.61,1.88,2.5599999,3.0999999,3.4400001,3.72,3.8900001,4.1100001,,,,,,
