countycode,plngdppc2001,plngdppc2002,plngdppc2003,plngdppc2004,plngdppc2005,plngdppc2006,plngdppc2007,plngdppc2008,plngdppc2009,plngdppc2010,plngdppc2011,plngdppc2012,plngdppc2013,plngdppc2014,plngdppc2015,plngdppc2016,plngdppc2017,plngdppc2018,plngdppc2019,plngdppc2020,plngdppc2021,id,county,city,citycode,province,provincecode
130127,8.7939472,8.8744411,8.9724541,9.1515484,9.2925196,9.4574089,9.6340389,9.8286591,10.048401,10.159425,10.40028,10.52279,10.619452,10.680383,10.717484,10.755845,10.834286,10.898906,10.999608,11.078427,11.158447,45,高邑县,石家庄市,130100,河北省,130000
130128,8.7016182,8.8500338,8.9684229,9.1364889,9.2984657,9.4023838,9.6110439,9.7707005,9.9484892,10.139391,10.384226,10.459654,10.53095,10.61782,10.638441,10.678636,10.759667,10.816642,10.871023,10.936241,11.061064,46,深泽县,石家庄市,130100,河北省,130000
130129,8.6110516,8.7047758,8.8504953,9.0883808,9.276597,9.3366108,9.5225229,9.7597132,9.8845282,10.045583,10.305026,10.460413,10.514079,10.574677,10.593031,10.645375,10.710853,10.743353,10.813676,10.875867,10.965606,47,赞皇县,石家庄市,130100,河北省,130000
130130,8.714798,8.8368006,9.0542393,9.2165461,9.3747082,9.4908361,9.7066441,9.8720131,10.01051,10.137494,10.364075,10.5002,10.558746,10.646207,10.670858,10.725824,10.822337,10.881308,10.953344,11.023414,11.12994,48,无极县,石家庄市,130100,河北省,130000
130131,8.6759911,8.8505697,8.9285889,9.1267862,9.2847538,9.4171724,9.6241865,9.8129301,9.9231119,10.096531,10.340407,10.490494,10.502391,10.557745,10.596834,10.642309,10.704079,10.744411,10.818939,10.86906,10.973395,49,平山县,石家庄市,130100,河北省,130000
130132,8.7667322,8.8763514,8.9401093,9.133728,9.2211008,9.3643208,9.5889521,9.807703,9.9112997,10.098864,10.363155,10.47917,10.568954,10.646564,10.689426,10.719254,10.80886,10.882245,10.968786,11.044508,11.139936,50,元氏县,石家庄市,130100,河北省,130000
130133,8.7584381,8.820199,8.9087887,9.1131477,9.2771482,9.452796,9.6300688,9.7801695,9.94732,10.108546,10.355504,10.440766,10.544797,10.615498,10.660028,10.69716,10.783346,10.843431,10.921378,10.989483,11.079417,51,赵县,石家庄市,130100,河北省,130000
130181,8.8433285,8.9540606,9.0789185,9.2524042,9.4337616,9.6297064,9.774827,9.9651127,10.039362,10.183824,10.416933,10.571886,10.626943,10.718666,10.760435,10.806374,10.883248,10.949842,11.025215,11.088606,11.193209,52,辛集市,石家庄市,130100,河北省,130000
130183,8.7723665,8.8599567,8.9612923,9.23452,9.3995304,9.4840393,9.7072048,9.9364748,10.039921,10.163969,10.37874,10.537246,10.626713,10.702488,10.755148,10.79332,10.84514,10.895644,10.974622,11.056198,11.163411,53,晋州市,石家庄市,130100,河北省,130000
130184,8.8313141,8.9532738,9.0226336,9.1878614,9.3515339,9.4583054,9.6871567,9.8987894,10.035716,10.173622,10.373755,10.49125,10.567815,10.636736,10.683062,10.772568,10.840121,10.913735,10.988421,11.056858,11.17418,54,新乐市,石家庄市,130100,河北省,130000
130202,9.4202223,9.5428476,9.6557035,9.8010912,9.9603348,10.171922,10.363641,10.555739,10.709397,10.810859,11.02068,11.125232,11.186638,11.269702,11.325871,11.402047,11.438942,11.485222,11.545201,11.609505,11.707522,55,路南区,唐山市,130200,河北省,130000
