id,plngdppc2001,plngdppc2002,plngdppc2003,plngdppc2004,plngdppc2005,plngdppc2006,plngdppc2007,plngdppc2008,plngdppc2009,plngdppc2010,plngdppc2011,plngdppc2012,plngdppc2013,plngdppc2014,plngdppc2015,plngdppc2016,plngdppc2017,plngdppc2018,plngdppc2019,plngdppc2020,plngdppc2021,county,countycode,city,citycode,province,provincecode,location
51,8.7429533,8.8035336,8.8893375,9.0951319,9.259409,9.435915,9.6126003,9.7601671,9.9292202,10.091013,10.338854,10.421221,10.525847,10.596983,10.640995,10.677245,10.765243,10.82517,10.903969,10.972049,11.061356,赵县,130133,石家庄市,130100,河北省,130000,Eastern
52,8.8324089,8.9445944,9.0686188,9.2418776,9.4244461,9.6223402,9.7651453,9.9550581,10.026213,10.17034,10.403586,10.559393,10.612411,10.705701,10.746803,10.792334,10.870519,10.937304,11.013391,11.076504,11.181268,辛集市,130181,石家庄市,130100,河北省,130000,Eastern
53,8.7576303,8.8454294,8.944665,9.223033,9.3883743,9.4688387,9.6938858,9.92488,10.026801,10.149416,10.363338,10.522888,10.612169,10.688652,10.741232,10.778577,10.830359,10.88019,10.960076,11.042353,11.149868,晋州市,130183,石家庄市,130100,河北省,130000,Eastern
54,8.8197479,8.9437656,9.009306,9.1738644,9.3377962,9.441721,9.6727591,9.8851681,10.02237,10.159589,10.358086,10.474419,10.550104,10.619363,10.665268,10.756708,10.825072,10.899255,10.974618,11.043048,11.161216,新乐市,130184,石家庄市,130100,河北省,130000,Eastern
55,9.4276381,9.5523577,9.6637325,9.8073835,9.9666481,10.181026,10.372935,10.564759,10.719593,10.818407,11.027114,11.129807,11.189517,11.273681,11.329958,11.407351,11.443407,11.488786,11.548652,11.612726,11.710551,路南区,130202,唐山市,130200,河北省,130000,Eastern
56,9.7178631,9.7454338,9.8715611,9.9394131,10.176346,10.379578,10.546917,10.744921,10.851736,10.975256,11.183496,11.338904,11.372445,11.439957,11.490954,11.546852,11.586801,11.633117,11.693806,11.760165,11.85998,路北区,130203,唐山市,130200,河北省,130000,Eastern
57,9.3807764,9.4496469,9.5795326,9.8717403,9.992012,10.126478,10.289753,10.451555,10.645199,10.792414,10.973946,11.113676,11.195542,11.251098,11.29008,11.335957,11.379951,11.421218,11.478692,11.537423,11.632941,古冶区,130204,唐山市,130200,河北省,130000,Eastern
58,9.4748182,9.5155277,9.7007275,9.8278036,10.011838,10.158368,10.372052,10.534213,10.682855,10.806901,11.009932,11.13183,11.186573,11.253863,11.30418,11.351445,11.404116,11.444601,11.506878,11.572301,11.67467,开平区,130205,唐山市,130200,河北省,130000,Eastern
59,9.2662745,9.3183994,9.4700212,9.6468067,9.814045,9.9910955,10.165808,10.345548,10.497305,10.631081,10.844506,10.969408,11.064029,11.127475,11.169106,11.224426,11.288647,11.337143,11.401504,11.467172,11.567241,丰南区,130207,唐山市,130200,河北省,130000,Eastern
60,9.2901506,9.3361244,9.4959345,9.6352711,9.8396215,10.009137,10.188091,10.372951,10.520261,10.686227,10.877468,11.031488,11.088982,11.148523,11.193573,11.239459,11.297745,11.34189,11.408053,11.477861,11.583801,丰润区,130208,唐山市,130200,河北省,130000,Eastern
61,9.1347952,9.0869961,9.2064838,9.4775896,9.6472845,9.8775053,10.048858,10.237668,10.456997,10.528505,10.720424,10.861667,10.98796,11.062352,11.127369,11.178483,11.250812,11.285732,11.407936,11.473392,11.571475,曹妃甸区,130209,唐山市,130200,河北省,130000,Eastern
62,9.0951452,9.1851768,9.3244019,9.4179811,9.6057186,9.7867785,10.049625,10.189885,10.367334,10.454055,10.651814,10.801873,10.928357,11.013123,11.050205,11.092735,11.16679,11.207623,11.29374,11.365687,11.466217,滦南县,130224,唐山市,130200,河北省,130000,Eastern
63,9.1602936,9.2443008,9.3322277,9.5407867,9.7601862,9.9841166,10.145585,10.31726,10.445062,10.568625,10.827053,10.978741,11.017773,11.107788,11.17427,11.210711,11.256886,11.300391,11.357222,11.437042,11.549806,乐亭县,130225,唐山市,130200,河北省,130000,Eastern
64,9.105135,9.1437769,9.3240366,9.4704752,9.658267,9.7489996,9.9768057,10.148479,10.366207,10.511737,10.709664,10.836395,10.920511,10.972987,10.995202,11.021326,11.093406,11.145643,11.239399,11.29635,11.396829,迁西县,130227,唐山市,130200,河北省,130000,Eastern
65,9.1552839,9.1865625,9.3134613,9.5108442,9.6645565,9.7656927,9.9798574,10.181149,10.374589,10.542513,10.75458,10.859493,10.946558,11.041239,11.125047,11.171196,11.236828,11.274792,11.359217,11.425927,11.543206,玉田县,130229,唐山市,130200,河北省,130000,Eastern
66,9.1523285,9.2712135,9.4058018,9.549613,9.776885,9.9122696,10.12199,10.324175,10.436247,10.539379,10.781823,10.90165,10.976372,11.003542,11.027806,11.066641,11.148669,11.204156,11.288129,11.353802,11.452645,遵化市,130281,唐山市,130200,河北省,130000,Eastern
67,9.2352343,9.2932825,9.5047903,9.7118959,9.9101419,10.089547,10.276,10.44413,10.591537,10.704744,10.926502,11.095396,11.120539,11.175789,11.213617,11.244864,11.292958,11.336689,11.406226,11.473294,11.576434,迁安市,130283,唐山市,130200,河北省,130000,Eastern
68,9.1208305,9.2426434,9.3892288,9.6226425,9.7881298,9.9349089,10.136767,10.251208,10.474662,10.607373,10.795105,10.943435,11.042193,11.109186,11.152261,11.21737,11.266979,11.31214,11.376057,11.44824,11.55258,滦州市,130284,唐山市,130200,河北省,130000,Eastern
69,8.8972244,8.9331741,9.0851994,9.2134418,9.3927412,9.6106014,9.7741489,9.9636965,10.079979,10.192509,10.42891,10.567499,10.558811,10.620106,10.671299,10.718776,10.778794,10.830871,10.883482,10.938413,11.039374,海港区,130302,秦皇岛市,130300,河北省,130000,Eastern
70,8.7916784,8.8388271,9.0051537,9.1770458,9.3648348,9.5310078,9.6952124,9.9379177,10.075655,10.207469,10.409408,10.523004,10.556319,10.614545,10.666508,10.71314,10.775637,10.826768,10.889441,10.947427,11.045031,山海关区,130303,秦皇岛市,130300,河北省,130000,Eastern
71,8.7415991,8.8166695,9.0075254,9.1766071,9.3596439,9.5134897,9.6881952,9.8721094,10.002185,10.178635,10.370696,10.497577,10.542596,10.598267,10.659131,10.706907,10.782248,10.839005,10.904463,10.966866,11.064818,北戴河区,130304,秦皇岛市,130300,河北省,130000,Eastern
72,8.4832535,8.5485888,8.6541023,8.9127932,8.9950962,9.1671009,9.3550415,9.5726242,9.742198,9.8705378,10.120466,10.213547,10.329769,10.391365,10.443413,10.50082,10.585793,10.638674,10.705853,10.759936,10.877596,抚宁区,130306,秦皇岛市,130300,河北省,130000,Eastern
73,8.2083931,8.2243366,8.4054308,8.58496,8.7330456,8.9067192,9.114028,9.3387909,9.5570507,9.7027731,9.9660015,10.085702,10.144832,10.196266,10.221114,10.244935,10.326468,10.380528,10.437977,10.499093,10.605658,青龙满族自治县,130321,秦皇岛市,130300,河北省,130000,Eastern
74,8.4294128,8.5770435,8.6805544,8.8835497,9.0321159,9.1932001,9.4219913,9.5839977,9.7929449,9.8822994,10.109217,10.244122,10.347621,10.418469,10.466126,10.520103,10.588321,10.638661,10.705937,10.781433,10.902449,昌黎县,130322,秦皇岛市,130300,河北省,130000,Eastern
75,8.2443352,8.3398561,8.550766,8.7120304,8.8645515,9.0567608,9.3325558,9.5573788,9.6730194,9.8111706,10.086761,10.221004,10.265256,10.300739,10.33928,10.38501,10.479177,10.54923,10.596145,10.672604,10.784986,卢龙县,130324,秦皇岛市,130300,河北省,130000,Eastern
76,8.7302523,8.8164806,8.9042606,9.0805569,9.2666655,9.437377,9.6116104,9.8454065,9.9802256,10.09855,10.299527,10.421155,10.468803,10.54293,10.58864,10.635691,10.699734,10.750715,10.833205,10.898749,10.985805,邯山区,130402,邯郸市,130400,河北省,130000,Eastern
77,8.7934446,8.8466806,8.9660597,9.0823298,9.3087702,9.4993477,9.6734829,9.8819609,9.9782915,10.075158,10.307066,10.457679,10.499745,10.570951,10.616858,10.659671,10.720837,10.781864,10.850455,10.924857,11.016562,丛台区,130403,邯郸市,130400,河北省,130000,Eastern
78,8.8422871,8.9072866,9.0327425,9.1681252,9.3336678,9.5481691,9.7164793,9.9175968,9.9805183,10.123399,10.322456,10.4856,10.532548,10.587811,10.622123,10.657269,10.702588,10.752578,10.823735,10.898493,10.996179,复兴区,130404,邯郸市,130400,河北省,130000,Eastern
79,8.7107048,8.7993689,8.8776073,9.1005983,9.2835159,9.4204493,9.5845413,9.7510014,9.879056,10.029286,10.257943,10.411552,10.446773,10.502538,10.532557,10.573325,10.622609,10.690965,10.766356,10.827517,10.923693,峰峰矿区,130406,邯郸市,130400,河北省,130000,Eastern
80,8.3877039,8.4893951,8.5034504,8.804306,8.9613152,9.1263161,9.295085,9.4211397,9.6962147,9.8679543,10.043366,10.169439,10.238191,10.388708,10.459669,10.494279,10.542282,10.628632,10.710832,10.777152,10.86495,肥乡区,130407,邯郸市,130400,河北省,130000,Eastern
81,8.555953,8.6235228,8.7310076,8.9394016,9.0978851,9.3040838,9.4617653,9.6849823,9.7945013,9.9492445,10.155818,10.288412,10.341732,10.409234,10.44873,10.492482,10.56554,10.622773,10.693398,10.763269,10.862185,永年区,130408,邯郸市,130400,河北省,130000,Eastern
82,8.312604,8.4250689,8.4809198,8.6878624,8.852478,9.0170364,9.2169142,9.4127846,9.6156359,9.7909403,10.017948,10.093102,10.147556,10.230992,10.272,10.307932,10.407498,10.455342,10.552943,10.643375,10.75918,临漳县,130423,邯郸市,130400,河北省,130000,Eastern
83,8.3996067,8.4957342,8.610672,8.8147783,9.0044365,9.1572857,9.3487902,9.5160799,9.6909847,9.8736515,10.140771,10.175467,10.272246,10.344532,10.422118,10.45392,10.526681,10.597281,10.680065,10.766157,10.855051,成安县,130424,邯郸市,130400,河北省,130000,Eastern
84,8.3238068,8.4081583,8.492691,8.7157316,8.7749472,9.156846,9.2270718,9.3319864,9.5648232,9.6966763,10.007126,10.093451,10.181484,10.239767,10.27173,10.306246,10.399288,10.464141,10.527629,10.599417,10.709398,大名县,130425,邯郸市,130400,河北省,130000,Eastern
85,8.4888172,8.5809441,8.6899128,8.909647,9.0803595,9.2781277,9.4383726,9.6728792,9.7697563,9.8902836,10.099442,10.232365,10.300648,10.371302,10.384712,10.408945,10.454527,10.501835,10.556357,10.632376,10.73468,涉县,130426,邯郸市,130400,河北省,130000,Eastern
86,8.4687548,8.6273756,8.740592,8.9102087,9.1292868,9.3078432,9.4318342,9.6013584,9.7677002,9.8890867,10.118148,10.242589,10.29317,10.368296,10.405035,10.414004,10.489659,10.539816,10.629259,10.707499,10.801206,磁县,130427,邯郸市,130400,河北省,130000,Eastern
87,8.4744062,8.5703344,8.5761719,8.8058739,8.9313335,9.0502567,9.298954,9.4723291,9.5710211,9.7009363,9.9251604,10.091141,10.17365,10.243887,10.277771,10.3098,10.406406,10.462479,10.526815,10.600529,10.693103,邱县,130430,邯郸市,130400,河北省,130000,Eastern
88,8.4204712,8.5488834,8.588212,8.8023748,8.9229469,9.110323,9.2627172,9.4145126,9.5953541,9.7873268,9.9798126,10.090534,10.199475,10.280372,10.320236,10.389605,10.451379,10.528335,10.621239,10.708576,10.824876,鸡泽县,130431,邯郸市,130400,河北省,130000,Eastern
89,8.5103607,8.6020994,8.6367607,8.8854952,9.0220881,9.1541653,9.272543,9.4702969,9.6277933,9.8220825,10.075451,10.171683,10.209855,10.319707,10.367804,10.404312,10.485082,10.551478,10.63331,10.695333,10.799633,广平县,130432,邯郸市,130400,河北省,130000,Eastern
90,8.4982672,8.5798674,8.6342897,8.8332453,9.0073376,9.1118889,9.3039465,9.5408573,9.718502,9.8003817,10.046138,10.109898,10.180719,10.249597,10.312429,10.367668,10.434201,10.49427,10.570909,10.645551,10.767398,馆陶县,130433,邯郸市,130400,河北省,130000,Eastern
91,8.4844723,8.6057491,8.6983414,8.8427315,9.0022545,9.1008043,9.2716188,9.5035467,9.6427879,9.8363981,10.044628,10.134886,10.154088,10.241285,10.305064,10.346336,10.470191,10.541224,10.610639,10.69277,10.808138,魏县,130434,邯郸市,130400,河北省,130000,Eastern
92,8.4036255,8.47577,8.5796413,8.7740717,8.9418411,9.094635,9.2638998,9.4361887,9.6037693,9.7597952,10.046179,10.083004,10.17825,10.237396,10.279889,10.322968,10.394904,10.454616,10.527862,10.626629,10.750364,曲周县,130435,邯郸市,130400,河北省,130000,Eastern
93,8.6437397,8.7266884,8.7834673,9.0146856,9.2071562,9.3570147,9.5183821,9.7284231,9.8320436,9.9374342,10.168624,10.321368,10.391699,10.462066,10.486123,10.525011,10.564045,10.605425,10.669413,10.748034,10.855553,武安市,130481,邯郸市,130400,河北省,130000,Eastern
