id,reggdp2001,reggdp_primary2001,perreggdp2001,plnpgdp2001,plngdp2001,plngdppc2001,nonagri_share2001,urbanland2001,urbanland_share2001,cropland2001,cropland_share2001,popden2001,urbanization2001,reggdp2011,reggdp_primary2011,perreggdp2011,plnpgdp2011,plngdp2011,plngdppc2011,nonagri_share2011,urbanland2011,urbanland_share2011,cropland2011,cropland_share2011,popden2011,urbanization2011,reggdp2021,reggdp_primary2021,perreggdp2021,plnpgdp2021,plngdp2021,plngdppc2021,nonagri_share2021,urbanland2021,urbanland_share2021,cropland2021,cropland_share2021,popden2021,urbanization2021,county,countycode,city,citycode,province,provincecode,location
42,489789,129034,1.12,19.590956,21.689468,8.9516792,87.73613,5.0340867,31.888502,5.7845864,67.541725,11.630093,48.222527,1980979,269762,4.1704822,20.828388,23.397419,10.45973,92.339027,5.0659394,32.920605,5.7777181,67.079399,11.665421,51.142635,3033638,367847,5.5100002,20.722063,23.548502,11.287812,94.07766,5.1200123,34.74971,5.7488208,65.168724,11.544123,59.852695,正定县,130123,石家庄市,130100,河北省,130000,Eastern
43,248720,60456,.61000001,20.001513,21.697659,8.7302408,81.661102,3.306998,2.8580444,6.8317862,97.020851,10.692735,8.0101519,1095571,205642,2.4346023,21.286976,23.389109,10.254349,87.780449,3.3352301,2.939883,6.8317704,97.019287,10.693717,9.6934128,1323509,444753,3.53,21.187963,23.459747,10.985252,89.687195,3.3838189,3.0862551,6.8295002,96.799294,10.707987,11.778803,行唐县,130125,石家庄市,130100,河北省,130000,Eastern
44,190817,41827,.61000001,20.177618,21.701935,8.6356649,78.223022,3.9510312,4.8733926,6.7333889,78.739731,10.339108,18.258028,727978,129005,2.1730688,21.42248,23.417158,10.260774,86.394264,3.9659863,4.9468217,6.735498,78.90596,10.355126,27.269527,1213315,334101,3.9200001,21.313738,23.529366,11.044929,89.091499,4.0089459,5.1639657,6.6365447,71.47187,10.408546,27.142122,灵寿县,130126,石家庄市,130100,河北省,130000,Eastern
45,178508,49850,1.01,19.217159,21.550814,8.7803717,90.305916,3.6851854,18.058764,5.1562767,78.627548,11.366159,31.556238,545686,87924,2.8421144,20.389654,23.304768,10.386038,94.580215,3.6950572,18.237917,5.1953678,81.762077,11.422796,33.9603,782081,169898,4.3899999,20.341738,23.424883,11.144636,95.418503,3.6999569,18.327496,5.1931739,81.582893,11.363451,33.986927,高邑县,130127,石家庄市,130100,河北省,130000,Eastern
46,172502,47834,.73000002,19.288263,21.52957,8.6830769,89.36805,3.9470317,17.395605,5.5048771,82.604401,11.353687,27.517488,677857,121820,2.6273527,20.496277,23.309902,10.36912,94.001289,3.9620671,17.659134,5.5016818,82.340866,11.357601,31.471836,828107,170948,3.9200001,20.400707,23.397142,11.042015,95.00351,4.0022783,18.383699,5.4928432,81.616295,11.398589,36.984955,深泽县,130128,石家庄市,130100,河北省,130000,Eastern
47,125788,39007,.54000002,19.952997,21.634838,8.5876389,81.396881,3.0973566,2.6060748,6.5558763,82.794762,10.185224,14.836308,701028,125614,2.6756792,21.194605,23.361946,10.28566,88.551842,3.1410038,2.7223418,6.569303,83.913933,10.227533,19.881323,835848,235272,3.52,21.144266,23.434891,10.941423,89.879677,3.1990802,2.8851271,6.4820971,76.906136,10.320169,18.439651,赞皇县,130129,石家庄市,130100,河北省,130000,Eastern
48,361630,87901,.75,19.63373,21.599695,8.6969652,85.997932,4.6944761,21.957897,5.9625978,78.042099,11.530097,27.016794,1321149,215551,2.555414,20.841562,23.349188,10.347885,91.853859,4.6955886,21.982338,5.9622846,78.017662,11.551876,34.219776,1436792,362446,3.22,20.741739,23.459064,11.114596,93.394882,4.7286587,22.721449,5.9527655,77.278549,11.56891,39.524639,无极县,130130,石家庄市,130100,河北省,130000,Eastern
49,336004,74237,.74000001,20.875095,21.926716,8.6560717,65.062889,4.341043,2.9079454,7.4204211,63.232906,9.8155365,13.145742,1927428,203314,3.9740784,22.08622,23.579443,10.322945,77.535263,4.4194679,3.1451817,7.4559188,65.517845,9.8132925,18.782661,2939388,192543,6.9400001,21.988731,23.618807,10.949631,80.408524,4.485599,3.3602071,7.2893786,55.466675,9.7517252,23.205284,平山县,130131,石家庄市,130100,河北省,130000,Eastern
50,338259,70778,.87,19.831612,21.662865,8.7516928,83.978729,4.1731286,9.6268034,6.3848429,87.905754,10.874308,18.52169,1278985,200464,2.995281,21.039772,23.37709,10.346915,90.34137,4.2089434,9.9778328,6.405797,89.767159,10.929336,27.699018,1756152,231797,4.4699998,20.978313,23.493763,11.125131,91.917343,4.3255534,11.211899,6.3806233,87.535614,11.086019,33.159615,元氏县,130132,石家庄市,130100,河北省,130000,Eastern
51,385016,102381,.69999999,19.849857,21.659309,8.7429533,83.625618,4.1812963,9.7678957,6.4019485,89.994926,11.332264,16.355518,1627153,295039,2.767267,21.050014,23.381094,10.338854,90.280922,4.1903024,9.8562641,6.4036007,90.143738,11.385696,21.906216,1546391,271723,3.0599999,20.966145,23.466808,11.061356,91.796944,4.2299671,10.255068,6.3991666,89.744934,11.393232,24.596876,赵县,130133,石家庄市,130100,河北省,130000,Eastern
52,761129,216308,1.23,20.006571,21.732603,8.8324089,82.20108,4.45647,9.0585499,6.7629771,90.941452,11.171312,32.86853,3181873,433276,5.0747576,21.249216,23.439306,10.403586,88.809334,4.5203581,9.6561689,6.7563839,90.343834,11.172783,38.943893,4766154,532299,8.0100002,21.15803,23.55394,11.181268,90.891029,4.6144204,10.608541,6.7457862,89.391464,11.127805,35.690643,辛集市,130181,石家庄市,130100,河北省,130000,Eastern
53,555633,114350,1.09,19.719938,21.641449,8.7576303,85.361435,4.6655536,17.562845,6.2110138,82.372025,11.362386,24.338537,1779161,239012,3.2765396,20.923847,23.376663,10.363338,91.394905,4.7335095,18.797834,6.1967101,81.202164,11.415019,31.396387,1715029,367887,3.3699999,20.833107,23.504009,11.149868,93.081024,4.7791362,19.675383,6.1858439,80.324615,11.442102,35.519489,晋州市,130183,石家庄市,130100,河北省,130000,Eastern
54,485631,117619,1.1,19.613165,21.644846,8.8197479,86.888504,4.2683997,13.701532,6.105216,85.997993,11.357409,26.827017,1431748,225000,2.8634961,20.884096,23.358353,10.358086,91.577438,4.2936845,14.052386,6.10463,85.947617,11.419067,31.119873,1574252,357982,3.29,20.78701,23.499527,11.161216,93.363045,4.3831091,15.366914,6.0892177,84.633072,11.492281,31.517813,新乐市,130184,石家庄市,130100,河北省,130000,Eastern
55,,,,19.534935,22.180325,9.4276381,92.902229,4.289031,29.779095,5.1425738,69.91983,12.113858,90.24295,,,,20.695152,23.947655,11.027114,96.132271,4.3036118,30.216484,5.1362987,69.482445,12.0361,90.545067,3081120,19087,9.1999998,20.632915,24.056143,11.710551,96.739296,4.3173089,30.633202,5.1280036,68.908485,11.678636,67.232224,路南区,130202,唐山市,130200,河北省,130000,Eastern
56,,,,18.509634,22.22242,9.7178631,97.559059,4.6108665,87.75106,2.5560615,11.242474,13.233782,99.427689,,,,19.546978,23.953203,11.183496,98.779884,4.6166658,88.261467,2.5095997,10.732078,13.297991,99.503799,5660630,40203,7.21,19.521957,24.068348,11.85998,98.939461,4.6638818,92.528755,2.0027344,6.4648004,13.457974,98.77459,路北区,130203,唐山市,130200,河北省,130000,Eastern
57,,,,19.468937,22.158653,9.3807764,93.209984,4.8990345,53.290958,4.7172074,44.431103,12.147458,87.942612,,,,20.535225,23.920593,10.973946,96.61348,4.9395666,55.495331,4.6681209,42.30278,12.226896,89.790039,2665910,112501,8.4399996,20.54184,24.018539,11.632941,96.909073,4.9754996,57.525707,4.6321282,40.807278,11.904192,89.376099,古冶区,130204,唐山市,130200,河北省,130000,Eastern
58,,,,19.301249,22.184271,9.4748182,94.403465,5.1092916,68.935844,4.1036315,25.216953,11.718499,86.105202,,,,20.396021,23.929193,11.009932,97.078789,5.1162305,69.415871,4.1067777,25.29641,11.94446,90.179939,1529098,49347,5.4899998,20.41617,24.031631,11.67467,97.309547,5.1241426,69.967278,4.0975699,25.064558,11.611339,90.673637,开平区,130205,唐山市,130200,河北省,130000,Eastern
59,1025106,254511,1.9713577,20.708569,22.330233,9.2662745,80.243034,5.1515851,12.79281,6.9851136,80.03083,10.690521,42.76577,,371002,,21.82885,24.021519,10.844506,88.838158,5.2107811,13.572958,6.9850149,80.022926,10.684112,47.006657,8400975,548495,15.21,21.771099,24.118179,11.567241,90.435196,5.2987843,14.821554,6.9592438,77.986992,10.773561,46.299725,丰南区,130207,唐山市,130200,河北省,130000,Eastern
60,,194573,,20.735888,22.345387,9.2901506,80.001221,5.4375806,17.448404,6.9874573,82.197533,10.868747,45.821529,,474070,,21.862507,24.031242,10.877468,88.567795,5.4942355,18.46549,6.9755335,81.223251,10.875663,50.830734,9800351,371274,12.27,21.86421,24.139221,11.583801,89.720421,5.56708,19.860794,6.9575911,79.778893,11.182922,48.760838,丰润区,130208,唐山市,130200,河北省,130000,Eastern
