id,gdp2000,gdp2001,gdp2002,gdp2003,gdp2004,gdp2005,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gdp2015,gdp2016,gdp2017,gdp2018,gdp2019,gdp2020,regionid
49,12.014653,12.075591,12.237558,12.326907,12.525783,12.680611,12.823736,13.02711,13.211077,13.330297,13.537297,13.751002,13.894219,13.937315,13.996064,14.040581,14.089831,14.159318,14.222956,14.288828,14.309411,130131
50,11.960299,12.039418,12.155374,12.234782,12.430317,12.535536,12.686316,12.901988,13.107094,13.221684,13.438578,13.666623,13.785825,13.883831,13.958279,14.005466,14.043682,14.132785,14.219739,14.295421,14.334065,130132
51,11.981781,12.033083,12.115327,12.212256,12.415319,12.574448,12.748042,12.930425,13.087219,13.246538,13.444896,13.660726,13.758263,13.866313,13.935888,13.984251,14.027619,14.114307,14.19188,14.261884,14.295155,130133
52,12.035087,12.118596,12.235427,12.357841,12.539256,12.710593,12.898537,13.058241,13.2433,13.337178,13.523737,13.72983,13.87648,13.950024,14.034431,14.080842,14.13042,14.210557,14.292723,14.360916,14.390864,130181
53,11.926417,12.035633,12.13606,12.241934,12.493582,12.653398,12.762785,12.977503,13.190046,13.30452,13.476685,13.669834,13.818988,13.916783,13.989939,14.044033,14.088132,14.150592,14.221408,14.292141,14.334915,130183
54,11.932258,12.066633,12.191315,12.274634,12.450195,12.609081,12.734186,12.952883,13.152989,13.291057,13.47299,13.655821,13.776073,13.864749,13.933069,13.982699,14.062991,14.136546,14.22366,14.291366,14.324872,130184
55,12.112937,12.185888,12.31112,12.425067,12.586664,12.742404,12.941381,13.133955,13.320292,13.470182,13.62641,13.816079,13.927175,14.005227,14.083524,14.140093,14.211002,14.262936,14.330771,14.387054,14.417645,130202
56,12.222509,12.324826,12.385037,12.508858,12.619714,12.827444,13.018966,13.195091,13.385566,13.503311,13.676077,13.865435,14.011819,14.072299,14.139446,14.192481,14.249,14.303538,14.372002,14.429641,14.461761,130203
57,12.078269,12.156848,12.244692,12.37103,12.632061,12.761696,12.907183,13.08059,13.246836,13.422697,13.611325,13.782803,13.918693,14.011539,14.070684,14.115676,14.165485,14.222733,14.287817,14.34047,14.367484,130204
58,12.093665,12.216314,12.285319,12.448682,12.599185,12.771503,12.925065,13.132215,13.298697,13.444441,13.617558,13.803429,13.927381,14.002075,14.069079,14.121657,14.172397,14.235453,14.300014,14.353995,14.385489,130205
59,12.105358,12.20276,12.279408,12.420297,12.604079,12.765153,12.939146,13.120209,13.298455,13.446288,13.62592,13.81875,13.94471,14.046115,14.110546,14.157309,14.213441,14.284231,14.354154,14.408845,14.440504,130207
60,12.129336,12.217347,12.289878,12.436249,12.59496,12.780879,12.949829,13.133731,13.315405,13.460261,13.661445,13.839422,13.984877,14.061416,14.123232,14.172283,14.222099,14.288916,14.355927,14.417285,14.451715,130208
61,12.020718,12.12142,12.131193,12.250576,12.497469,12.660189,12.869774,13.048587,13.232907,13.425977,13.563921,13.742352,13.879252,14.001859,14.073617,14.136037,14.189354,14.265573,14.326406,14.366134,14.39765,130209
62,11.974559,12.0825,12.184501,12.317089,12.445178,12.619976,12.796644,13.036694,13.188519,13.353542,13.501678,13.684017,13.82682,13.949538,14.028242,14.071961,14.11953,14.196902,14.261696,14.327437,14.363299,130224
63,12.053479,12.139393,12.237382,12.335631,12.540681,12.736674,12.942055,13.11425,13.287097,13.418892,13.591687,13.814647,13.958539,14.022719,14.104938,14.168339,14.211832,14.270539,14.337121,14.374251,14.415385,130225
64,12.003527,12.100983,12.168603,12.328656,12.49212,12.666954,12.78317,12.999767,13.17262,13.364607,13.552108,13.734562,13.861748,13.956113,14.013199,14.046965,14.08355,14.1596,14.232028,14.309988,14.33581,130227
65,12.036519,12.11837,12.181062,12.305402,12.502955,12.654982,12.778172,12.985631,13.178307,13.354029,13.556519,13.748437,13.861019,13.957356,14.042698,14.117698,14.16769,14.239425,14.302296,14.376072,14.408428,130229
66,12.054409,12.135345,12.256683,12.386168,12.547875,12.74914,12.895239,13.099738,13.293012,13.414276,13.573393,13.78565,13.908213,13.996291,14.036435,14.071571,14.116667,14.199378,14.273981,14.347043,14.378703,130281
67,12.105247,12.175816,12.256429,12.437407,12.641488,12.82332,12.998892,13.187815,13.358288,13.503209,13.66907,13.867479,14.022892,14.077774,14.136717,14.180934,14.220949,14.280942,14.347674,14.410026,14.44262,130283
68,11.964918,12.085005,12.208263,12.345778,12.567457,12.72736,12.881088,13.080322,13.214864,13.410683,13.589602,13.765231,13.906876,14.011045,14.077849,14.125579,14.188264,14.249272,14.316961,14.376639,14.412659,130284
69,12.225095,12.320314,12.386136,12.527294,12.678578,12.847726,13.049044,13.222631,13.407442,13.531526,13.696934,13.905147,14.04027,14.072495,14.135485,14.188649,14.239531,14.307508,14.379827,14.430995,14.455463,130302
70,12.0719,12.155382,12.228691,12.379413,12.559909,12.734741,12.90145,13.07548,13.295875,13.434319,13.612638,13.797776,13.916171,13.976528,14.037465,14.091146,14.14146,14.211094,14.282781,14.33533,14.361846,130303
71,12.014106,12.101593,12.193557,12.360682,12.539292,12.710945,12.869403,13.050462,13.231508,13.36482,13.57301,13.751536,13.878827,13.947014,14.006242,14.065881,14.116961,14.19519,14.270643,14.32976,14.359232,130304
72,11.972143,12.066586,12.152048,12.262091,12.500645,12.604902,12.775505,12.965417,13.168991,13.328732,13.504726,13.721983,13.826651,13.942504,14.005695,14.059433,14.116961,14.201641,14.2745,14.335228,14.35913,130306
73,11.88446,11.971167,12.02353,12.184419,12.370239,12.518325,12.690149,12.893137,13.101589,13.294104,13.481745,13.70796,13.830421,13.908076,13.964459,13.999971,14.035002,14.117407,14.191057,14.246247,14.274858,130321
74,11.954107,12.042657,12.183173,12.291863,12.493172,12.641755,12.805058,13.022313,13.188695,13.374802,13.524698,13.726557,13.859216,13.966556,14.035941,14.086739,14.141971,14.215436,14.286593,14.343924,14.382161,130322
75,11.767016,11.901714,12.00688,12.187171,12.360486,12.5118,12.695845,12.944451,13.152864,13.276514,13.459072,13.693489,13.825707,13.893383,13.939101,13.983801,14.033511,14.124335,14.208687,14.257234,14.296114,130324
76,12.132743,12.193446,12.292917,12.391072,12.57452,12.748227,12.917975,13.098717,13.313151,13.449642,13.618931,13.803427,13.927197,13.997162,14.068744,14.118238,14.168834,14.239503,14.31109,14.383446,14.415021,130402
77,12.187432,12.231358,12.308749,12.428053,12.571323,12.772028,12.955075,13.135752,13.333238,13.443964,13.598888,13.804089,13.947262,14.013485,14.083109,14.132735,14.180493,14.249237,14.32755,14.390653,14.428157,130403
78,12.188009,12.231355,12.31662,12.439991,12.596054,12.755996,12.955057,13.131833,13.324392,13.412755,13.598481,13.781691,13.933253,14.002719,14.061671,14.103536,14.146162,14.204296,14.27522,14.339941,14.377684,130404
79,12.163827,12.16126,12.262351,12.354129,12.568821,12.740392,12.887531,13.061485,13.230851,13.36281,13.553454,13.756474,13.901653,13.96328,14.022569,14.061563,14.107952,14.16874,14.251956,14.319672,14.348312,130406
80,11.83008,11.976042,12.085567,12.134987,12.401095,12.55539,12.721288,12.898387,13.040936,13.270947,13.475963,13.643354,13.770123,13.854177,13.976863,14.043259,14.085527,14.145457,14.240716,14.312999,14.345093,130407
81,12.063656,12.118174,12.205142,12.316496,12.521411,12.676632,12.870126,13.03979,13.24714,13.366695,13.560361,13.748601,13.879714,13.953458,14.020602,14.065938,14.114326,14.191029,14.2668,14.331317,14.365788,130408
